Type,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Gender,Senior_Citizen,Partner,Dependents,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Year,Month,Day,dow
month-to-month,no,mailed check,20.35,76.35,female,0,yes,yes,no,no,no,no,no,no,no,no,2019,9,1,6
one year,yes,bank transfer,103.7,5656.75,female,0,yes,yes,no,fiber optic,no,yes,yes,yes,yes,yes,2015,7,1,2
two year,no,credit card,20.4,1090.6,male,0,yes,yes,no,no,no,no,no,no,no,no,2015,8,1,5
one year,yes,bank transfer,19.6,471.85,male,0,no,no,no,no,no,no,no,no,no,no,2017,12,1,4
two year,no,bank transfer,19.7,1396.9,female,0,yes,yes,no,no,no,no,no,no,no,no,2014,5,1,3
one year,no,credit card,91.2,3247.55,male,0,yes,yes,no,fiber optic,no,no,no,no,yes,yes,2017,1,1,6
one year,no,bank transfer,20.45,900.9,female,0,yes,no,no,no,no,no,no,no,no,no,2016,1,1,4
one year,no,bank transfer,115.8,7942.15,male,0,yes,no,yes,fiber optic,yes,yes,yes,yes,yes,yes,2014,8,1,4
one year,no,electronic check,20.55,1343.4,female,0,no,no,no,no,no,no,no,no,no,no,2014,7,1,1
two year,yes,electronic check,25.1,1070.15,female,0,no,yes,yes,no,no,no,no,no,no,no,2016,7,1,4
month-to-month,yes,bank transfer,89.8,4959.6,female,0,yes,no,yes,fiber optic,yes,no,no,no,yes,no,2015,7,1,2
month-to-month,yes,electronic check,94.75,5597.65,female,0,yes,no,yes,fiber optic,yes,yes,no,no,yes,no,2015,3,1,6
two year,no,bank transfer,20.3,224.5,female,0,yes,yes,no,no,no,no,no,no,no,no,2019,2,1,4
month-to-month,yes,bank transfer,75.75,1929.0,male,0,yes,yes,yes,fiber optic,no,no,no,no,no,no,2017,11,1,2
one year,no,mailed check,78.2,2078.95,female,0,no,no,no,dsl,no,yes,yes,yes,yes,yes,2017,11,1,2
two year,no,credit card,25.5,630.6,male,0,yes,yes,yes,no,no,no,no,no,no,no,2018,1,1,0
one year,yes,bank transfer,61.6,1611.0,male,0,yes,yes,no,dsl,yes,yes,yes,no,no,no,2018,1,1,0
two year,yes,bank transfer,85.15,6316.2,male,0,yes,no,yes,dsl,no,yes,yes,yes,yes,yes,2014,2,1,5
one year,no,credit card,51.45,727.85,female,0,no,no,no,dsl,no,yes,no,no,no,no,2018,12,1,5
one year,yes,electronic check,99.25,3532.0,female,0,no,no,no,fiber optic,no,no,yes,yes,yes,yes,2017,3,1,2
month-to-month,yes,electronic check,94.2,2607.6,male,0,no,no,no,fiber optic,no,no,no,yes,yes,yes,2017,9,1,4
one year,no,electronic check,81.25,5567.55,male,0,no,no,yes,dsl,yes,yes,yes,yes,yes,no,2014,10,1,2
month-to-month,yes,credit card,99.95,3767.4,female,0,yes,yes,yes,fiber optic,no,no,no,yes,yes,yes,2016,11,1,1
month-to-month,yes,electronic check,91.55,3673.6,female,1,no,no,no,fiber optic,no,no,no,no,yes,yes,2016,10,1,5
month-to-month,yes,credit card,104.5,4036.85,male,0,no,no,yes,fiber optic,no,yes,yes,no,yes,yes,2016,9,1,3
month-to-month,no,electronic check,50.35,314.55,female,0,yes,no,yes,dsl,no,no,no,no,no,no,2019,8,1,3
month-to-month,yes,mailed check,64.5,1888.45,male,0,no,no,yes,dsl,yes,no,no,no,no,yes,2017,8,1,1
month-to-month,yes,electronic check,19.4,529.8,male,0,no,no,no,no,no,no,no,no,no,no,2017,11,1,2
one year,yes,electronic check,104.8,7308.95,male,1,yes,no,yes,fiber optic,no,yes,yes,no,yes,yes,2014,4,1,1
one year,yes,bank transfer,109.4,6252.7,female,0,yes,no,yes,fiber optic,no,yes,yes,yes,yes,yes,2015,5,1,4
one year,no,credit card,50.3,2878.55,male,0,yes,no,no,dsl,no,no,yes,no,no,no,2015,4,1,2
month-to-month,yes,bank transfer,71.4,1212.1,male,0,no,no,yes,dsl,no,yes,yes,no,no,yes,2018,10,1,0
two year,yes,electronic check,116.0,8182.85,female,0,yes,no,yes,fiber optic,yes,yes,yes,yes,yes,yes,2014,5,1,3
month-to-month,yes,mailed check,93.95,2861.45,male,1,yes,yes,no,fiber optic,no,yes,no,no,yes,yes,2017,6,1,3
month-to-month,yes,bank transfer,90.8,1442.2,male,0,yes,yes,yes,fiber optic,no,no,yes,no,yes,no,2018,10,1,0
month-to-month,no,electronic check,107.55,3645.5,female,0,no,no,yes,fiber optic,no,yes,yes,no,yes,yes,2017,5,1,0
month-to-month,yes,bank transfer,19.95,187.75,female,0,yes,no,no,no,no,no,no,no,no,no,2019,4,1,0
month-to-month,yes,credit card,85.8,2193.65,female,1,no,no,no,fiber optic,yes,no,no,no,yes,no,2017,12,1,4
two year,no,mailed check,88.1,5526.75,female,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes,2015,1,1,3
month-to-month,yes,electronic check,94.65,6747.35,male,0,yes,no,no,fiber optic,no,no,yes,no,yes,yes,2014,2,1,5
one year,yes,bank transfer,20.5,865.05,male,0,yes,yes,no,no,no,no,no,no,no,no,2016,6,1,2
month-to-month,no,credit card,89.4,5976.9,male,0,no,no,yes,fiber optic,no,yes,no,no,no,yes,2014,8,1,4
one year,no,bank transfer,74.85,3268.05,female,1,no,no,no,dsl,no,no,yes,yes,yes,yes,2016,6,1,2
two year,yes,electronic check,109.95,7634.25,male,1,yes,no,yes,fiber optic,no,yes,yes,yes,yes,yes,2014,5,1,3
month-to-month,no,electronic check,90.35,190.5,female,0,yes,no,no,fiber optic,yes,yes,no,no,yes,no,2019,12,1,6
month-to-month,yes,bank transfer,86.45,2401.05,female,1,no,no,yes,fiber optic,no,yes,yes,no,no,no,2017,11,1,2
month-to-month,yes,electronic check,20.3,511.25,male,0,no,no,no,no,no,no,no,no,no,no,2017,12,1,4
month-to-month,yes,electronic check,101.25,3949.15,female,1,yes,no,yes,fiber optic,no,no,no,yes,yes,yes,2016,11,1,1
two year,yes,electronic check,114.9,8496.7,female,0,no,no,yes,fiber optic,yes,yes,yes,yes,yes,yes,2014,2,1,5
two year,yes,bank transfer,19.55,470.2,female,0,no,no,no,no,no,no,no,no,no,no,2018,2,1,3
month-to-month,yes,electronic check,86.85,1564.4,female,0,yes,no,yes,fiber optic,no,no,no,no,yes,no,2018,7,1,6
two year,no,credit card,25.35,1847.55,male,0,yes,yes,yes,no,no,no,no,no,no,no,2014,3,1,5
month-to-month,yes,bank transfer,109.9,3694.7,male,1,yes,no,yes,fiber optic,yes,no,yes,yes,yes,yes,2017,5,1,0
month-to-month,no,mailed check,19.95,58.0,female,0,no,no,no,no,no,no,no,no,no,no,2019,11,1,4
month-to-month,no,electronic check,87.2,4017.45,male,0,yes,yes,yes,fiber optic,no,yes,no,no,yes,no,2016,3,1,1
two year,no,mailed check,108.15,6825.65,male,0,yes,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,2014,12,1,0
one year,yes,bank transfer,116.3,8309.55,male,0,no,no,yes,fiber optic,yes,yes,yes,yes,yes,yes,2014,3,1,5
month-to-month,yes,electronic check,89.0,605.45,male,1,yes,no,no,fiber optic,no,no,no,no,yes,yes,2019,7,1,0
month-to-month,no,mailed check,74.4,1972.35,female,0,yes,yes,no,fiber optic,yes,no,no,no,no,no,2017,11,1,2
month-to-month,no,mailed check,20.05,33.7,male,0,no,no,no,no,no,no,no,no,no,no,2019,12,1,6
month-to-month,yes,electronic check,74.75,2111.3,male,1,no,no,no,dsl,yes,yes,no,no,yes,yes,2017,8,1,1
month-to-month,yes,electronic check,85.25,855.3,male,0,yes,no,yes,fiber optic,no,no,no,no,no,yes,2019,3,1,4
month-to-month,yes,credit card,75.2,633.85,female,0,no,no,yes,fiber optic,no,no,no,no,no,no,2019,5,1,2
one year,no,bank transfer,84.45,5848.6,female,0,yes,yes,yes,fiber optic,yes,no,yes,no,no,no,2014,5,1,3
two year,yes,bank transfer,102.4,6471.85,female,1,no,no,yes,fiber optic,yes,no,no,no,yes,yes,2014,8,1,4
two year,yes,mailed check,19.25,864.2,female,0,yes,yes,no,no,no,no,no,no,no,no,2016,4,1,4
one year,yes,mailed check,114.65,6049.5,female,0,yes,no,yes,fiber optic,yes,yes,yes,yes,yes,yes,2015,8,1,5
month-to-month,no,bank transfer,19.4,198.1,female,0,yes,yes,no,no,no,no,no,no,no,no,2019,2,1,4
month-to-month,yes,credit card,84.3,2438.6,male,0,no,no,no,fiber optic,yes,yes,yes,no,no,no,2017,8,1,1
one year,no,bank transfer,100.55,7113.75,male,0,yes,yes,yes,fiber optic,no,yes,no,no,yes,yes,2014,3,1,5
one year,no,credit card,19.8,576.65,male,0,yes,no,no,no,no,no,no,no,no,no,2017,8,1,1
one year,yes,bank transfer,19.95,219.5,male,0,no,yes,no,no,no,no,no,no,no,no,2019,4,1,0
month-to-month,no,electronic check,75.35,273.4,male,1,no,no,no,fiber optic,yes,no,no,no,no,no,2019,10,1,1
two year,no,mailed check,20.15,165.5,male,0,yes,yes,no,no,no,no,no,no,no,no,2019,6,1,5
month-to-month,yes,electronic check,44.3,89.3,female,1,no,no,no,dsl,no,no,no,no,no,no,2019,12,1,6
month-to-month,no,electronic check,84.3,235.05,male,0,no,no,no,fiber optic,no,yes,no,no,no,yes,2019,11,1,4
month-to-month,no,electronic check,59.55,1144.6,male,0,no,no,yes,dsl,no,no,yes,yes,no,no,2018,7,1,6
two year,no,bank transfer,69.65,4908.25,male,0,no,no,yes,dsl,yes,yes,yes,yes,no,no,2014,2,1,5
one year,yes,bank transfer,79.2,4765.0,female,0,no,no,yes,fiber optic,no,no,yes,no,no,no,2015,2,1,6
month-to-month,yes,credit card,85.55,85.55,female,0,no,no,no,fiber optic,no,no,yes,no,yes,no,2019,12,1,6
month-to-month,yes,bank transfer,109.65,5405.8,female,0,yes,no,yes,fiber optic,yes,yes,no,yes,yes,yes,2015,12,1,1
two year,no,credit card,89.7,6339.3,male,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes,2014,2,1,5
month-to-month,no,mailed check,84.25,3847.6,female,0,no,no,yes,fiber optic,yes,yes,no,no,no,no,2016,4,1,4
two year,no,bank transfer,92.65,6733.0,female,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes,2014,2,1,5
two year,yes,bank transfer,92.45,6140.85,female,1,no,no,no,fiber optic,yes,yes,no,yes,yes,no,2014,7,1,1
two year,no,electronic check,79.65,3870.3,female,0,yes,yes,yes,dsl,no,yes,no,yes,yes,yes,2016,2,1,0
two year,yes,electronic check,109.9,7624.2,female,0,no,no,no,fiber optic,yes,yes,yes,yes,yes,yes,2014,2,1,5
one year,yes,credit card,81.4,4354.45,male,0,yes,no,yes,dsl,yes,yes,yes,yes,no,yes,2015,10,1,3
one year,no,credit card,50.55,3431.75,female,0,yes,yes,no,dsl,no,yes,no,no,no,no,2014,7,1,1
month-to-month,no,bank transfer,62.45,2045.55,female,0,yes,yes,yes,dsl,no,yes,yes,no,no,no,2017,6,1,3
month-to-month,no,electronic check,90.4,268.45,male,0,no,no,no,fiber optic,no,yes,yes,no,no,yes,2019,11,1,4
two year,yes,credit card,70.5,3486.65,male,0,yes,yes,yes,dsl,yes,no,no,yes,yes,no,2015,12,1,1
two year,no,bank transfer,20.1,1389.6,female,0,yes,yes,no,no,no,no,no,no,no,no,2014,3,1,5
month-to-month,no,bank transfer,100.7,1522.7,female,0,yes,yes,no,fiber optic,yes,no,yes,no,yes,yes,2018,10,1,0
two year,yes,bank transfer,105.65,6717.9,female,0,yes,yes,yes,fiber optic,no,no,yes,yes,yes,yes,2014,7,1,1
two year,yes,credit card,114.3,8058.55,male,0,yes,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,2014,2,1,5
one year,no,mailed check,24.35,538.5,male,0,yes,yes,yes,no,no,no,no,no,no,no,2018,3,1,3
two year,no,bank transfer,69.85,5102.35,male,0,yes,yes,yes,dsl,yes,yes,yes,yes,no,no,2014,2,1,5
month-to-month,yes,electronic check,54.4,475.1,male,0,yes,yes,no,dsl,no,no,no,no,yes,no,2019,6,1,5
two year,yes,bank transfer,19.95,1234.8,male,0,yes,no,no,no,no,no,no,no,no,no,2014,11,1,5
month-to-month,yes,credit card,54.75,1510.3,male,0,yes,yes,no,dsl,yes,yes,no,no,no,no,2017,11,1,2
month-to-month,no,electronic check,60.55,1982.6,female,0,no,no,no,dsl,yes,yes,yes,no,no,no,2017,3,1,2
month-to-month,yes,electronic check,86.2,4524.05,female,0,yes,yes,yes,dsl,no,yes,yes,yes,yes,yes,2015,8,1,5
month-to-month,yes,credit card,63.95,318.1,male,0,no,no,no,dsl,no,no,yes,yes,yes,no,2019,9,1,6
one year,yes,bank transfer,65.35,1231.85,male,0,no,no,no,dsl,no,yes,no,yes,no,yes,2018,7,1,6
two year,yes,bank transfer,20.05,614.45,male,0,no,no,no,no,no,no,no,no,no,no,2017,6,1,3
month-to-month,no,electronic check,101.15,842.9,female,0,yes,no,no,fiber optic,no,yes,yes,no,yes,yes,2019,5,1,2
one year,no,mailed check,65.0,2531.8,male,0,no,no,yes,dsl,no,no,yes,no,no,yes,2016,9,1,3
month-to-month,yes,mailed check,19.25,86.05,male,0,no,no,no,no,no,no,no,no,no,no,2019,9,1,6
one year,no,mailed check,19.05,326.65,female,0,no,no,no,no,no,no,no,no,no,no,2018,10,1,0
one year,no,bank transfer,105.75,7382.85,male,1,no,no,yes,fiber optic,no,yes,no,yes,yes,yes,2014,3,1,5
one year,yes,bank transfer,84.8,6046.1,female,0,yes,no,no,dsl,yes,yes,yes,yes,yes,yes,2014,3,1,5
month-to-month,no,mailed check,19.85,178.8,male,0,no,no,no,no,no,no,no,no,no,no,2019,5,1,2
month-to-month,yes,electronic check,49.45,314.6,female,0,no,no,no,dsl,yes,no,no,no,no,no,2019,8,1,3
month-to-month,yes,bank transfer,88.8,2274.35,female,0,no,no,no,fiber optic,no,no,no,no,yes,yes,2017,11,1,2
month-to-month,no,mailed check,55.15,322.9,female,0,no,no,no,dsl,yes,yes,no,no,no,no,2019,8,1,3
month-to-month,no,electronic check,84.8,888.75,male,0,no,no,no,fiber optic,no,no,yes,no,no,yes,2019,3,1,4
two year,yes,bank transfer,20.15,973.35,female,0,yes,no,no,no,no,no,no,no,no,no,2016,1,1,4
month-to-month,yes,credit card,58.7,168.6,female,0,yes,yes,no,dsl,no,yes,no,no,yes,no,2019,11,1,4
two year,no,mailed check,99.5,5424.25,female,0,no,no,no,fiber optic,yes,yes,yes,yes,no,yes,2015,9,1,1
two year,yes,mailed check,26.4,121.25,male,0,no,yes,yes,no,no,no,no,no,no,no,2019,11,1,4
month-to-month,yes,electronic check,100.2,6851.65,female,1,yes,no,yes,fiber optic,no,yes,no,no,yes,yes,2014,5,1,3
month-to-month,yes,electronic check,94.7,740.3,male,0,no,no,no,fiber optic,no,no,yes,no,yes,yes,2019,5,1,2
one year,yes,electronic check,97.65,6982.5,female,0,yes,no,yes,fiber optic,no,no,yes,no,yes,yes,2014,4,1,1
one year,no,electronic check,100.0,3835.55,male,0,yes,yes,yes,fiber optic,no,no,yes,no,yes,yes,2016,11,1,1
month-to-month,yes,electronic check,70.1,70.1,female,0,no,no,no,fiber optic,no,no,no,no,no,no,2019,12,1,6
one year,no,bank transfer,102.5,6157.6,male,0,yes,no,yes,fiber optic,no,yes,yes,no,yes,yes,2015,2,1,6
month-to-month,yes,electronic check,81.35,233.7,male,1,no,no,yes,fiber optic,no,yes,no,no,no,no,2019,10,1,1
one year,yes,credit card,66.05,3462.1,female,0,yes,no,yes,dsl,yes,yes,no,yes,no,no,2015,7,1,2
two year,no,bank transfer,74.4,5360.75,male,1,yes,no,no,dsl,yes,yes,yes,yes,yes,no,2014,2,1,5
two year,yes,credit card,108.9,4854.3,female,0,yes,no,yes,fiber optic,no,yes,yes,yes,yes,yes,2016,4,1,4
month-to-month,no,mailed check,19.9,320.45,female,0,no,no,no,no,no,no,no,no,no,no,2018,11,1,3
two year,no,credit card,19.6,426.65,male,0,yes,yes,no,no,no,no,no,no,no,no,2018,3,1,3
month-to-month,yes,bank transfer,45.9,521.9,male,0,yes,no,no,dsl,no,no,no,no,no,no,2019,3,1,4
two year,yes,bank transfer,99.9,5706.3,female,1,no,no,yes,fiber optic,no,yes,yes,yes,yes,no,2015,6,1,0
month-to-month,no,credit card,20.05,471.7,female,0,no,yes,no,no,no,no,no,no,no,no,2018,1,1,0
two year,no,credit card,19.65,830.25,female,0,no,no,no,no,no,no,no,no,no,no,2016,10,1,5
month-to-month,yes,electronic check,84.9,3067.2,male,0,no,no,yes,fiber optic,no,no,no,no,no,yes,2017,1,1,6
two year,no,bank transfer,86.85,6263.8,male,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes,2014,3,1,5
month-to-month,yes,electronic check,102.55,1742.5,male,0,yes,no,yes,fiber optic,no,yes,yes,no,yes,yes,2018,9,1,5
month-to-month,no,electronic check,78.2,1468.75,male,0,yes,no,no,fiber optic,no,no,yes,yes,no,no,2018,8,1,2
month-to-month,no,bank transfer,91.2,3382.3,female,0,no,no,yes,fiber optic,yes,yes,yes,no,no,no,2017,1,1,6
month-to-month,no,mailed check,19.35,46.35,male,0,no,no,no,no,no,no,no,no,no,no,2019,12,1,6
one year,yes,bank transfer,70.4,1992.2,female,0,yes,yes,no,fiber optic,no,no,no,no,no,no,2017,10,1,6
two year,yes,credit card,20.4,1414.45,male,0,yes,no,no,no,no,no,no,no,no,no,2014,9,1,0
month-to-month,no,electronic check,44.6,122.7,female,0,no,no,no,dsl,no,no,no,no,no,no,2019,11,1,4
month-to-month,yes,electronic check,93.6,3366.05,male,0,yes,no,no,fiber optic,yes,no,no,no,yes,yes,2017,2,1,2
month-to-month,yes,mailed check,57.95,1271.8,male,0,yes,yes,no,dsl,yes,yes,no,yes,no,no,2018,4,1,6
two year,no,credit card,112.1,7965.95,female,0,yes,no,yes,fiber optic,yes,yes,yes,yes,yes,yes,2014,2,1,5
month-to-month,no,electronic check,85.8,272.2,female,0,no,no,no,fiber optic,no,no,no,yes,no,yes,2019,10,1,1
one year,no,credit card,60.3,3563.8,male,0,yes,no,no,dsl,yes,yes,yes,no,no,no,2015,3,1,6
two year,no,credit card,81.35,5398.6,male,0,yes,yes,no,dsl,yes,yes,yes,no,yes,yes,2014,7,1,1
one year,yes,electronic check,99.85,3343.15,male,1,no,no,no,fiber optic,no,yes,yes,no,yes,yes,2017,4,1,5
month-to-month,no,credit card,20.0,198.7,male,0,no,no,no,no,no,no,no,no,no,no,2019,4,1,0
two year,yes,credit card,85.35,5897.4,female,0,no,no,yes,dsl,yes,no,yes,yes,yes,yes,2014,5,1,3
month-to-month,no,credit card,64.4,1398.6,male,0,no,no,no,dsl,yes,no,yes,no,no,yes,2018,6,1,4
two year,no,mailed check,19.4,967.85,female,0,yes,yes,no,no,no,no,no,no,no,no,2016,4,1,4
two year,yes,credit card,105.0,7589.8,female,0,yes,no,yes,fiber optic,yes,no,yes,no,yes,yes,2014,2,1,5
two year,no,credit card,25.15,1790.15,male,0,yes,yes,yes,no,no,no,no,no,no,no,2014,4,1,1
month-to-month,no,mailed check,19.3,44.4,female,0,no,no,no,no,no,no,no,no,no,no,2019,12,1,6
month-to-month,yes,bank transfer,55.3,1284.2,male,0,no,yes,no,dsl,no,yes,no,yes,no,no,2018,3,1,3
month-to-month,yes,electronic check,95.4,3474.2,male,0,yes,no,yes,fiber optic,no,no,no,no,yes,yes,2017,2,1,2
two year,no,bank transfer,20.5,1430.95,male,0,no,no,no,no,no,no,no,no,no,no,2014,7,1,1
two year,yes,bank transfer,105.55,7542.25,male,0,yes,yes,yes,fiber optic,yes,no,yes,no,yes,yes,2014,2,1,5
two year,no,bank transfer,24.45,1709.1,female,0,yes,yes,yes,no,no,no,no,no,no,no,2014,2,1,5
two year,no,credit card,19.7,1421.9,male,0,yes,no,no,no,no,no,no,no,no,no,2014,2,1,5
one year,yes,credit card,110.65,6526.65,female,0,yes,no,yes,fiber optic,yes,yes,yes,no,yes,yes,2015,4,1,2
month-to-month,yes,bank transfer,83.85,2674.15,female,0,yes,no,no,fiber optic,no,yes,no,no,no,yes,2017,7,1,5
month-to-month,yes,electronic check,60.25,170.5,female,0,no,no,yes,dsl,no,no,no,no,yes,no,2019,11,1,4
two year,yes,electronic check,59.2,3175.85,male,0,no,no,no,dsl,yes,no,yes,yes,no,no,2015,7,1,2
month-to-month,yes,credit card,85.3,4297.95,male,0,yes,no,no,fiber optic,no,yes,no,no,yes,no,2016,1,1,4
month-to-month,yes,electronic check,99.75,4036.0,female,1,no,no,yes,fiber optic,no,no,yes,no,yes,yes,2016,11,1,1
two year,yes,credit card,66.1,4428.45,male,0,yes,no,yes,dsl,yes,yes,yes,no,no,no,2014,8,1,4
one year,no,mailed check,20.55,295.95,female,0,yes,yes,no,no,no,no,no,no,no,no,2018,11,1,3
one year,yes,electronic check,98.85,4947.55,female,0,yes,no,yes,fiber optic,no,no,yes,no,yes,yes,2015,11,1,6
month-to-month,no,mailed check,49.2,447.9,male,1,no,no,no,dsl,no,no,no,yes,no,no,2019,5,1,2
one year,yes,bank transfer,19.5,516.3,male,0,no,no,no,no,no,no,no,no,no,no,2018,1,1,0
month-to-month,yes,bank transfer,87.0,1850.65,male,0,yes,no,no,fiber optic,no,no,yes,no,yes,no,2018,4,1,6
month-to-month,yes,electronic check,49.0,749.25,male,0,no,no,yes,dsl,no,no,no,no,no,no,2018,11,1,3
month-to-month,no,mailed check,90.7,237.65,male,0,no,no,no,fiber optic,no,no,no,no,yes,yes,2019,11,1,4
month-to-month,yes,electronic check,100.5,4707.1,female,0,yes,no,yes,fiber optic,no,no,yes,no,yes,yes,2016,3,1,1
two year,yes,mailed check,85.25,5714.2,female,0,no,no,yes,dsl,yes,no,yes,yes,yes,yes,2014,7,1,1
month-to-month,yes,electronic check,74.7,1294.6,female,1,no,no,no,fiber optic,no,yes,no,no,no,no,2018,8,1,2
two year,yes,credit card,60.15,3753.2,male,0,yes,no,no,dsl,no,yes,yes,yes,no,no,2014,12,1,0
one year,yes,electronic check,80.55,3263.9,female,0,no,no,yes,dsl,no,yes,yes,no,yes,yes,2016,9,1,3
month-to-month,yes,mailed check,50.15,2139.1,female,0,no,no,yes,dsl,no,no,no,no,no,no,2016,6,1,2
one year,yes,credit card,94.45,5042.75,female,0,no,no,no,fiber optic,no,yes,yes,yes,no,yes,2015,9,1,1
two year,yes,mailed check,20.05,1036.0,male,0,yes,no,no,no,no,no,no,no,no,no,2016,2,1,0
one year,yes,bank transfer,115.6,6431.05,female,1,yes,no,yes,fiber optic,yes,yes,yes,yes,yes,yes,2015,8,1,5
month-to-month,yes,bank transfer,99.65,2404.85,male,0,no,no,yes,fiber optic,no,yes,no,no,yes,yes,2018,2,1,3
two year,no,bank transfer,80.6,2651.1,male,0,no,no,no,fiber optic,no,yes,no,yes,no,no,2017,5,1,0
two year,no,electronic check,85.25,5538.35,male,0,yes,no,yes,dsl,yes,yes,no,yes,yes,yes,2014,8,1,4
month-to-month,yes,electronic check,69.55,200.2,female,0,yes,yes,no,fiber optic,no,no,no,no,no,no,2019,11,1,4
two year,no,credit card,83.5,5435.0,male,0,yes,yes,yes,dsl,yes,yes,yes,no,yes,yes,2014,11,1,5
two year,no,credit card,25.6,1334.5,male,0,no,yes,yes,no,no,no,no,no,no,no,2015,10,1,3
month-to-month,yes,credit card,20.75,67.1,male,0,no,no,no,no,no,no,no,no,no,no,2019,11,1,4
month-to-month,yes,bank transfer,56.75,503.25,male,0,no,no,no,dsl,no,no,no,no,no,yes,2019,4,1,0
two year,no,bank transfer,20.1,1460.85,female,0,yes,yes,no,no,no,no,no,no,no,no,2014,2,1,5
month-to-month,yes,credit card,98.8,2807.1,male,0,no,no,no,fiber optic,no,no,yes,yes,yes,yes,2017,9,1,4
one year,yes,electronic check,104.85,6312.9,female,1,yes,no,yes,fiber optic,yes,no,yes,no,yes,yes,2014,12,1,0
one year,yes,electronic check,73.0,3001.2,male,0,yes,no,yes,dsl,no,no,yes,no,yes,yes,2016,8,1,0
month-to-month,yes,electronic check,77.85,3365.85,male,0,no,no,yes,fiber optic,no,yes,no,no,no,no,2016,6,1,2
two year,yes,electronic check,105.45,2715.3,female,0,no,yes,no,fiber optic,no,yes,yes,yes,yes,yes,2017,12,1,4
month-to-month,yes,electronic check,96.8,1743.05,female,0,yes,no,no,fiber optic,no,no,yes,no,yes,yes,2018,7,1,6
two year,no,credit card,24.25,1784.5,female,0,yes,yes,yes,no,no,no,no,no,no,no,2014,2,1,5
one year,yes,bank transfer,102.15,4735.35,female,1,no,no,yes,fiber optic,no,no,yes,no,yes,yes,2016,5,1,6
one year,yes,bank transfer,64.85,2010.95,male,0,no,no,no,dsl,no,no,no,no,yes,yes,2017,6,1,3
month-to-month,yes,bank transfer,25.25,996.45,male,0,no,no,yes,no,no,no,no,no,no,no,2016,9,1,3
two year,no,credit card,24.75,1715.1,male,0,yes,yes,yes,no,no,no,no,no,no,no,2014,9,1,0
two year,no,mailed check,19.65,225.75,male,0,yes,yes,no,no,no,no,no,no,no,no,2019,3,1,4
two year,yes,bank transfer,74.45,3721.9,female,0,no,no,no,dsl,no,no,yes,yes,yes,yes,2016,1,1,4
month-to-month,no,bank transfer,99.4,5943.65,male,0,yes,no,yes,fiber optic,yes,no,yes,yes,yes,no,2015,1,1,3
month-to-month,yes,mailed check,19.15,477.6,male,0,yes,yes,no,no,no,no,no,no,no,no,2018,1,1,0
