Customer_ID,Begin_Date,End_Date,Type,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Gender,Senior_Citizen,Partner,Dependents,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies
0071-NDAFP,2018-01-01,2020-02-01,two year,no,credit card,25.5,630.6,male,0,yes,yes,yes,,,,,,,
0074-HDKDG,2018-01-01,2020-02-01,one year,yes,bank transfer,61.6,1611.0,male,0,yes,yes,no,dsl,yes,yes,yes,no,no,no
0076-LVEPS,,,,,,,,,,,,,dsl,yes,yes,yes,yes,no,no
0078-XZMHT,2014-02-01,2020-02-01,two year,yes,bank transfer,85.15,6316.2,male,0,yes,no,yes,dsl,no,yes,yes,yes,yes,yes
0080-EMYVY,2018-12-01,2020-02-01,one year,no,credit card,51.45,727.85,female,0,no,no,no,dsl,no,yes,no,no,no,no
0080-OROZO,2017-03-01,2020-02-01,one year,yes,electronic check,99.25,3532.0,female,0,no,no,no,fiber optic,no,no,yes,yes,yes,yes
0082-LDZUE,2020-01-01,2020-02-01,month-to-month,yes,mailed check,44.3,44.3,male,0,no,no,no,dsl,no,no,no,no,no,no
0082-OQIQY,2017-09-01,2020-02-01,month-to-month,yes,electronic check,94.2,2607.6,male,0,no,no,no,fiber optic,no,no,no,yes,yes,yes
0083-PIVIK,2014-10-01,2020-02-01,one year,no,electronic check,81.25,5567.55,male,0,no,no,yes,dsl,yes,yes,yes,yes,yes,no
0089-IIQKO,2016-11-01,2020-02-01,month-to-month,yes,credit card,99.95,3767.4,female,0,yes,yes,yes,fiber optic,no,no,no,yes,yes,yes
0093-EXYQL,2016-10-01,2020-02-01,month-to-month,yes,electronic check,91.55,3673.6,female,1,no,no,no,fiber optic,no,no,no,no,yes,yes
0093-XWZFY,2016-09-01,2020-01-01,month-to-month,yes,credit card,104.5,4036.85,male,0,no,no,yes,fiber optic,no,yes,yes,no,yes,yes
0094-OIFMO,2018-12-01,2019-11-01,month-to-month,yes,electronic check,95.0,1120.3,female,1,no,no,no,fiber optic,no,yes,no,no,yes,yes
0096-BXERS,2019-08-01,2020-02-01,month-to-month,no,electronic check,50.35,314.55,female,0,yes,no,yes,dsl,no,no,no,no,no,no
0096-FCPUF,2017-08-01,2020-02-01,month-to-month,yes,mailed check,64.5,1888.45,male,0,no,no,yes,dsl,yes,no,no,no,no,yes
0098-BOWSO,2017-11-01,2020-02-01,month-to-month,yes,electronic check,19.4,529.8,male,0,no,no,no,,,,,,,
0100-DUVFC,2014-04-01,2020-02-01,one year,yes,electronic check,104.8,7308.95,male,1,yes,no,yes,fiber optic,no,yes,yes,no,yes,yes
0103-CSITQ,2015-05-01,2020-02-01,one year,yes,bank transfer,109.4,6252.7,female,0,yes,no,yes,fiber optic,no,yes,yes,yes,yes,yes
0104-PPXDV,2015-04-01,2020-02-01,one year,no,credit card,50.3,2878.55,male,0,yes,no,no,dsl,no,no,yes,no,no,no
0106-GHRQR,2018-10-01,2020-02-01,month-to-month,yes,bank transfer,71.4,1212.1,male,0,no,no,yes,dsl,no,yes,yes,no,no,yes
0106-UGRDO,2014-05-01,2020-02-01,two year,yes,electronic check,116.0,8182.85,female,0,yes,no,yes,fiber optic,yes,yes,yes,yes,yes,yes
0107-WESLM,2019-09-01,2019-10-01,month-to-month,yes,electronic check,19.85,19.85,male,0,no,no,no,,,,,,,
0107-YHINA,2019-10-01,2019-11-01,month-to-month,yes,electronic check,99.75,99.75,male,0,no,yes,yes,fiber optic,no,no,yes,no,yes,yes
0111-KLBQG,2017-06-01,2020-02-01,month-to-month,yes,mailed check,93.95,2861.45,male,1,yes,yes,no,fiber optic,no,yes,no,no,yes,yes
0112-QAWRZ,2018-10-01,2020-02-01,month-to-month,yes,bank transfer,90.8,1442.2,male,0,yes,yes,yes,fiber optic,no,no,yes,no,yes,no
0112-QWPNC,2015-10-01,2019-11-01,one year,no,electronic check,84.35,4059.35,male,0,yes,no,yes,dsl,yes,no,yes,yes,yes,yes
0114-IGABW,,,,,,,,,,,,,dsl,no,yes,yes,yes,yes,yes
0114-PEGZZ,2017-05-01,2020-02-01,month-to-month,no,electronic check,107.55,3645.5,female,0,no,no,yes,fiber optic,no,yes,yes,no,yes,yes
0114-RSRRW,2019-04-01,2020-02-01,month-to-month,yes,bank transfer,19.95,187.75,female,0,yes,no,no,,,,,,,
0115-TFERT,2018-02-01,2019-11-01,month-to-month,yes,electronic check,111.2,2317.1,male,0,yes,no,yes,fiber optic,no,yes,yes,yes,yes,yes
0117-LFRMW,,,,,,,,,,,,,dsl,yes,yes,yes,no,no,no
0118-JPNOY,2017-12-01,2020-02-01,month-to-month,yes,credit card,85.8,2193.65,female,1,no,no,no,fiber optic,yes,no,no,no,yes,no
0121-SNYRK,,,,,,,,,,,,,dsl,yes,no,no,yes,no,no
0122-OAHPZ,2019-05-01,2019-12-01,month-to-month,yes,electronic check,73.85,511.25,female,0,no,no,yes,fiber optic,no,no,no,no,no,no
0123-CRBRT,2015-01-01,2020-02-01,two year,no,mailed check,88.1,5526.75,female,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes
0125-LZQXK,2018-07-01,2019-10-01,month-to-month,yes,electronic check,101.35,1553.95,male,0,no,no,no,fiber optic,no,no,yes,yes,yes,yes
0128-MKWSG,,,,,,,,,,,,,dsl,yes,no,no,yes,no,yes
0129-KPTWJ,2014-02-01,2020-02-01,month-to-month,yes,electronic check,94.65,6747.35,male,0,yes,no,no,fiber optic,no,no,yes,no,yes,yes
0129-QMPDR,2016-06-01,2020-02-01,one year,yes,bank transfer,20.5,865.05,male,0,yes,yes,no,,,,,,,
0130-SXOUN,2014-08-01,2020-02-01,month-to-month,no,credit card,89.4,5976.9,male,0,no,no,yes,fiber optic,no,yes,no,no,no,yes
0133-BMFZO,2019-10-01,2019-12-01,month-to-month,yes,electronic check,86.25,181.65,female,0,no,no,no,fiber optic,yes,yes,no,yes,no,no
0134-XWXCE,2016-06-01,2020-02-01,one year,no,bank transfer,74.85,3268.05,female,1,no,no,no,dsl,no,no,yes,yes,yes,yes
0135-NMXAP,2018-11-01,2019-11-01,month-to-month,yes,bank transfer,89.75,1052.4,female,0,no,no,yes,fiber optic,no,yes,no,no,yes,no
0136-IFMYD,2014-05-01,2020-02-01,two year,yes,electronic check,109.95,7634.25,male,1,yes,no,yes,fiber optic,no,yes,yes,yes,yes,yes
0137-OCGAB,2019-10-01,2019-11-01,month-to-month,yes,mailed check,80.2,80.2,female,0,no,no,yes,fiber optic,no,yes,no,no,no,no
0137-UDEUO,2019-08-01,2019-11-01,month-to-month,no,mailed check,19.85,63.75,female,0,no,no,no,,,,,,,
0139-IVFJG,2019-12-01,2020-02-01,month-to-month,no,electronic check,90.35,190.5,female,0,yes,no,no,fiber optic,yes,yes,no,no,yes,no
0141-YEAYS,2017-11-01,2020-02-01,month-to-month,yes,bank transfer,86.45,2401.05,female,1,no,no,yes,fiber optic,no,yes,yes,no,no,no
0142-GVYSN,2017-12-01,2020-02-01,month-to-month,yes,electronic check,20.3,511.25,male,0,no,no,no,,,,,,,
0147-ESWWR,2016-11-01,2020-02-01,month-to-month,yes,electronic check,101.25,3949.15,female,1,yes,no,yes,fiber optic,no,no,no,yes,yes,yes
0148-DCDOS,2017-09-01,2019-10-01,month-to-month,yes,bank transfer,94.7,2362.1,male,0,no,no,yes,fiber optic,no,no,no,no,yes,yes
0151-ONTOV,2019-11-01,2019-12-01,month-to-month,no,mailed check,70.9,70.9,female,0,no,no,no,fiber optic,no,no,no,no,no,no
0156-FVPTA,2018-01-01,2019-11-01,month-to-month,yes,electronic check,54.2,1152.7,male,0,yes,no,no,dsl,yes,no,no,yes,no,no
0164-APGRB,2014-02-01,2020-02-01,two year,yes,electronic check,114.9,8496.7,female,0,no,no,yes,fiber optic,yes,yes,yes,yes,yes,yes
0164-XAIRP,2018-02-01,2020-02-01,two year,yes,bank transfer,19.55,470.2,female,0,no,no,no,,,,,,,
0168-XZKBB,2018-07-01,2020-02-01,month-to-month,yes,electronic check,86.85,1564.4,female,0,yes,no,yes,fiber optic,no,no,no,no,yes,no
0174-QRVVY,2014-03-01,2020-02-01,two year,no,credit card,25.35,1847.55,male,0,yes,yes,yes,,,,,,,
0177-PXBAT,2017-05-01,2020-02-01,month-to-month,yes,bank transfer,109.9,3694.7,male,1,yes,no,yes,fiber optic,yes,no,yes,yes,yes,yes
0178-CIIKR,2019-11-01,2020-02-01,month-to-month,no,mailed check,19.95,58.0,female,0,no,no,no,,,,,,,
0178-SZBHO,2016-03-01,2020-02-01,month-to-month,no,electronic check,87.2,4017.45,male,0,yes,yes,yes,fiber optic,no,yes,no,no,yes,no
0181-RITDD,2014-12-01,2020-02-01,two year,no,mailed check,108.15,6825.65,male,0,yes,yes,no,fiber optic,yes,yes,yes,yes,yes,yes
0186-CAERR,2014-03-01,2020-02-01,one year,yes,bank transfer,116.3,8309.55,male,0,no,no,yes,fiber optic,yes,yes,yes,yes,yes,yes
0187-QSXOE,2019-07-01,2020-02-01,month-to-month,yes,electronic check,89.0,605.45,male,1,yes,no,no,fiber optic,no,no,no,no,yes,yes
0187-WZNAB,2017-11-01,2020-02-01,month-to-month,no,mailed check,74.4,1972.35,female,0,yes,yes,no,fiber optic,yes,no,no,no,no,no
0188-GWFLE,2019-12-01,2020-02-01,month-to-month,no,mailed check,20.05,33.7,male,0,no,no,no,,,,,,,
0191-EQUUH,,,,,,,,,,,,,dsl,yes,no,no,yes,no,no
0191-ZHSKZ,2017-08-01,2020-02-01,month-to-month,yes,electronic check,74.75,2111.3,male,1,no,no,no,dsl,yes,yes,no,no,yes,yes
0193-ESZXP,2014-12-01,2019-10-01,one year,yes,credit card,105.5,6205.5,female,1,yes,no,no,fiber optic,yes,yes,no,yes,yes,yes
0195-IESCP,2019-03-01,2020-01-01,month-to-month,yes,electronic check,85.25,855.3,male,0,yes,no,yes,fiber optic,no,no,no,no,no,yes
0196-JTUQI,2019-05-01,2020-02-01,month-to-month,yes,credit card,75.2,633.85,female,0,no,no,yes,fiber optic,no,no,no,no,no,no
0196-VULGZ,2019-06-01,2019-12-01,month-to-month,yes,electronic check,84.35,474.9,female,1,yes,no,yes,fiber optic,no,no,no,no,no,yes
0197-PNKNK,2014-05-01,2020-02-01,one year,no,bank transfer,84.45,5848.6,female,0,yes,yes,yes,fiber optic,yes,no,yes,no,no,no
0201-MIBOL,2014-08-01,2020-02-01,two year,yes,bank transfer,102.4,6471.85,female,1,no,no,yes,fiber optic,yes,no,no,no,yes,yes
0201-OAMXR,2014-01-01,2019-11-01,one year,no,credit card,115.55,8127.6,female,0,no,no,yes,fiber optic,yes,yes,yes,yes,yes,yes
0203-HHYIJ,2017-09-01,2019-10-01,one year,no,bank transfer,25.3,676.35,male,0,no,no,yes,,,,,,,
0206-OYVOC,2016-04-01,2020-02-01,two year,yes,mailed check,19.25,864.2,female,0,yes,yes,no,,,,,,,
0206-TBWLC,2015-08-01,2020-02-01,one year,yes,mailed check,114.65,6049.5,female,0,yes,no,yes,fiber optic,yes,yes,yes,yes,yes,yes
0207-MDKNV,2018-08-01,2019-11-01,month-to-month,no,electronic check,105.1,1582.75,female,0,no,no,no,fiber optic,yes,no,yes,yes,yes,yes
0208-BPQEJ,2019-02-01,2020-02-01,month-to-month,no,bank transfer,19.4,198.1,female,0,yes,yes,no,,,,,,,
0212-ISBBF,,,,,,,,,,,,,dsl,no,yes,no,no,yes,yes
0214-JHPFW,,,,,,,,,,,,,dsl,no,yes,yes,yes,yes,yes
0215-BQKGS,2017-08-01,2020-02-01,month-to-month,yes,credit card,84.3,2438.6,male,0,no,no,no,fiber optic,yes,yes,yes,no,no,no
0218-QNVAS,2014-03-01,2020-02-01,one year,no,bank transfer,100.55,7113.75,male,0,yes,yes,yes,fiber optic,no,yes,no,no,yes,yes
0219-QAERP,2017-08-01,2020-02-01,one year,no,credit card,19.8,576.65,male,0,yes,no,no,,,,,,,
0219-YTZUE,2019-07-01,2019-11-01,month-to-month,yes,bank transfer,84.8,371.9,male,0,yes,yes,yes,fiber optic,no,yes,yes,no,no,no
0220-EBGCE,2019-09-01,2019-11-01,month-to-month,yes,electronic check,85.85,167.3,male,0,no,no,no,fiber optic,no,no,yes,no,no,yes
0221-NAUXK,2019-04-01,2020-02-01,one year,yes,bank transfer,19.95,219.5,male,0,no,yes,no,,,,,,,
0221-WMXNQ,2019-10-01,2020-02-01,month-to-month,no,electronic check,75.35,273.4,male,1,no,no,no,fiber optic,yes,no,no,no,no,no
0222-CNVPT,,,,,,,,,,,,,dsl,yes,no,no,no,yes,yes
0224-HJAPT,2019-05-01,2019-10-01,month-to-month,no,electronic check,47.15,223.15,male,0,no,no,yes,dsl,no,no,no,no,no,no
0224-NIJLP,2019-06-01,2020-02-01,two year,no,mailed check,20.15,165.5,male,0,yes,yes,no,,,,,,,
0224-RLWWD,2019-12-01,2020-02-01,month-to-month,yes,electronic check,44.3,89.3,female,1,no,no,no,dsl,no,no,no,no,no,no
0225-ZORZP,2019-11-01,2020-02-01,month-to-month,no,electronic check,84.3,235.05,male,0,no,no,no,fiber optic,no,yes,no,no,no,yes
0228-MAUWC,2018-07-01,2020-02-01,month-to-month,no,electronic check,59.55,1144.6,male,0,no,no,yes,dsl,no,no,yes,yes,no,no
0229-LFJAF,2014-02-01,2020-02-01,two year,no,bank transfer,69.65,4908.25,male,0,no,no,yes,dsl,yes,yes,yes,yes,no,no
0230-UBYPQ,,,,,,,,,,,,,dsl,yes,no,no,yes,no,no
0230-WEQUW,,,,,,,,,,,,,dsl,yes,yes,yes,yes,yes,no
0231-LXVAP,2019-11-01,2019-12-01,month-to-month,yes,electronic check,75.9,75.9,male,0,no,no,no,fiber optic,no,no,no,yes,no,no
0233-FTHAV,2015-02-01,2020-02-01,one year,yes,bank transfer,79.2,4765.0,female,0,no,no,yes,fiber optic,no,no,yes,no,no,no
0234-TEVTT,,,,,,,,,,,,,dsl,yes,no,yes,no,no,yes
0235-KGSLC,2019-12-01,2020-01-01,month-to-month,yes,credit card,85.55,85.55,female,0,no,no,no,fiber optic,no,no,yes,no,yes,no
0236-HFWSV,2018-08-01,2019-11-01,month-to-month,yes,electronic check,93.35,1444.65,male,0,no,no,yes,fiber optic,no,no,no,no,yes,yes
0237-YFUTL,2015-12-01,2020-02-01,month-to-month,yes,bank transfer,109.65,5405.8,female,0,yes,no,yes,fiber optic,yes,yes,no,yes,yes,yes
0238-WHBIQ,2014-02-01,2020-02-01,two year,no,credit card,89.7,6339.3,male,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes
0239-OXEXL,2016-04-01,2020-02-01,month-to-month,no,mailed check,84.25,3847.6,female,0,no,no,yes,fiber optic,yes,yes,no,no,no,no
0244-LGNFY,2014-02-01,2020-02-01,two year,no,bank transfer,92.65,6733.0,female,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes
0247-SLUJI,2020-01-01,2020-02-01,month-to-month,no,mailed check,19.7,19.7,male,0,yes,yes,no,,,,,,,
0248-IPDFW,2020-01-01,2020-02-01,month-to-month,yes,electronic check,50.1,50.1,female,0,no,no,yes,dsl,no,no,no,no,no,no
0248-PGHBZ,2014-07-01,2020-02-01,two year,yes,bank transfer,92.45,6140.85,female,1,no,no,no,fiber optic,yes,yes,no,yes,yes,no
0253-ZTEOB,2016-02-01,2020-02-01,two year,no,electronic check,79.65,3870.3,female,0,yes,yes,yes,dsl,no,yes,no,yes,yes,yes
0254-FNMCI,2014-02-01,2020-02-01,two year,yes,electronic check,109.9,7624.2,female,0,no,no,no,fiber optic,yes,yes,yes,yes,yes,yes
0254-KCJGT,2015-10-01,2020-02-01,one year,yes,credit card,81.4,4354.45,male,0,yes,no,yes,dsl,yes,yes,yes,yes,no,yes
0254-WWRKD,2014-07-01,2020-02-01,one year,no,credit card,50.55,3431.75,female,0,yes,yes,no,dsl,no,yes,no,no,no,no
0256-LTHVJ,2017-06-01,2019-10-01,month-to-month,yes,electronic check,81.05,2227.1,female,0,yes,yes,no,fiber optic,no,no,no,no,no,yes
0257-KXZGU,2017-06-01,2020-02-01,month-to-month,no,bank transfer,62.45,2045.55,female,0,yes,yes,yes,dsl,no,yes,yes,no,no,no
0257-ZESQC,2017-07-01,2019-10-01,month-to-month,yes,bank transfer,75.2,1929.35,female,1,yes,no,no,fiber optic,yes,no,no,no,no,no
0258-NOKBL,2019-11-01,2020-02-01,month-to-month,no,electronic check,90.4,268.45,male,0,no,no,no,fiber optic,no,yes,yes,no,no,yes
0259-GBZSH,2019-08-01,2019-10-01,month-to-month,yes,electronic check,85.65,181.5,male,0,no,no,yes,fiber optic,no,no,no,no,yes,no
0260-ZDLGK,2019-01-01,2019-10-01,month-to-month,yes,mailed check,72.9,651.4,female,0,no,yes,no,dsl,no,no,yes,yes,yes,yes
0263-FJTQO,2015-12-01,2020-02-01,two year,yes,credit card,70.5,3486.65,male,0,yes,yes,yes,dsl,yes,no,no,yes,yes,no
0264-CNITK,2014-03-01,2020-02-01,two year,no,bank transfer,20.1,1389.6,female,0,yes,yes,no,,,,,,,
0265-EDXBD,2017-04-01,2019-12-01,month-to-month,yes,electronic check,74.9,2303.35,male,1,yes,no,yes,fiber optic,no,no,no,no,no,no
0265-PSUAE,2018-10-01,2020-02-01,month-to-month,no,bank transfer,100.7,1522.7,female,0,yes,yes,no,fiber optic,yes,no,yes,no,yes,yes
0266-CLZKZ,2014-07-01,2020-02-01,two year,yes,bank transfer,105.65,6717.9,female,0,yes,yes,yes,fiber optic,no,no,yes,yes,yes,yes
0266-GMEAO,2014-02-01,2020-02-01,two year,yes,credit card,114.3,8058.55,male,0,yes,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes
0268-QKIWO,2019-09-01,2019-12-01,month-to-month,no,electronic check,19.75,58.85,female,0,no,no,no,,,,,,,
0269-XFESX,2018-03-01,2020-02-01,one year,no,mailed check,24.35,538.5,male,0,yes,yes,yes,,,,,,,
0270-THENM,2014-02-01,2020-02-01,two year,no,bank transfer,69.85,5102.35,male,0,yes,yes,yes,dsl,yes,yes,yes,yes,no,no
0274-JKUJR,,,,,,,,,,,,,dsl,yes,yes,yes,no,yes,yes
0277-BKSQP,2019-06-01,2020-02-01,month-to-month,yes,electronic check,54.4,475.1,male,0,yes,yes,no,dsl,no,no,no,no,yes,no
0277-ORXQS,,,,,,,,,,,,,dsl,no,no,no,yes,yes,yes
0278-YXOOG,2019-06-01,2019-11-01,month-to-month,no,mailed check,21.05,113.85,male,0,no,no,no,,,,,,,
0280-XJGEX,2015-09-01,2019-10-01,month-to-month,yes,bank transfer,103.7,5036.3,male,0,no,no,yes,fiber optic,no,yes,yes,no,yes,yes
0281-CNTZX,2014-11-01,2020-02-01,two year,yes,bank transfer,19.95,1234.8,male,0,yes,no,no,,,,,,,
0282-NVSJS,,,,,,,,,,,,,dsl,no,no,no,yes,no,no
0285-INHLN,2017-11-01,2020-02-01,month-to-month,yes,credit card,54.75,1510.3,male,0,yes,yes,no,dsl,yes,yes,no,no,no,no
0289-IVARM,2017-03-01,2020-02-01,month-to-month,no,electronic check,60.55,1982.6,female,0,no,no,no,dsl,yes,yes,yes,no,no,no
0292-WEGCH,2015-08-01,2020-02-01,month-to-month,yes,electronic check,86.2,4524.05,female,0,yes,yes,yes,dsl,no,yes,yes,yes,yes,yes
0295-PPHDO,2019-11-01,2019-12-01,month-to-month,yes,electronic check,95.45,95.45,male,0,no,no,yes,fiber optic,no,no,no,no,yes,yes
0295-QVKPB,2019-09-01,2020-02-01,month-to-month,yes,credit card,63.95,318.1,male,0,no,no,no,dsl,no,no,yes,yes,yes,no
0297-RBCSG,2018-07-01,2020-02-01,one year,yes,bank transfer,65.35,1231.85,male,0,no,no,no,dsl,no,yes,no,yes,no,yes
0298-XACET,,,,,,,,,,,,,dsl,no,yes,yes,yes,yes,no
0301-FIDRB,,,,,,,,,,,,,dsl,yes,yes,yes,yes,yes,yes
0301-KOBTQ,2017-06-01,2020-02-01,two year,yes,bank transfer,20.05,614.45,male,0,no,no,no,,,,,,,
0302-JOIVN,2019-05-01,2020-01-01,month-to-month,no,electronic check,101.15,842.9,female,0,yes,no,no,fiber optic,no,yes,yes,no,yes,yes
0303-UNCIP,2016-09-01,2020-02-01,one year,no,mailed check,65.0,2531.8,male,0,no,no,yes,dsl,no,no,yes,no,no,yes
0303-WMMRN,2019-09-01,2020-02-01,month-to-month,yes,mailed check,19.25,86.05,male,0,no,no,no,,,,,,,
0305-SQECB,,,,,,,,,,,,,dsl,yes,no,no,yes,no,no
0306-JAELE,2019-06-01,2019-11-01,month-to-month,yes,electronic check,96.1,453.4,male,0,no,no,no,fiber optic,no,no,no,yes,yes,yes
0307-BCOPK,2018-10-01,2020-02-01,one year,no,mailed check,19.05,326.65,female,0,no,no,no,,,,,,,
0308-GIQJT,2014-03-01,2020-02-01,one year,no,bank transfer,105.75,7382.85,male,1,no,no,yes,fiber optic,no,yes,no,yes,yes,yes
0308-IVGOK,,,,,,,,,,,,,dsl,no,yes,yes,yes,no,no
0310-MVLET,2014-09-01,2019-10-01,month-to-month,yes,electronic check,99.15,6010.05,female,0,yes,yes,yes,fiber optic,no,yes,no,no,yes,yes
0310-SUCIN,2014-03-01,2020-02-01,one year,yes,bank transfer,84.8,6046.1,female,0,yes,no,no,dsl,yes,yes,yes,yes,yes,yes
0310-VQXAM,2019-05-01,2020-02-01,month-to-month,no,mailed check,19.85,178.8,male,0,no,no,no,,,,,,,
0311-QYWSS,2019-08-01,2020-02-01,month-to-month,yes,electronic check,49.45,314.6,female,0,no,no,no,dsl,yes,no,no,no,no,no
0311-UNPFF,2017-11-01,2020-01-01,month-to-month,yes,bank transfer,88.8,2274.35,female,0,no,no,no,fiber optic,no,no,no,no,yes,yes
