Customer_ID,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies
6614-FHDBO,fiber optic,no,yes,yes,yes,yes,yes
7576-ASEJU,dsl,yes,no,no,yes,yes,yes
9058-HRZSV,fiber optic,yes,yes,yes,no,no,yes
4522-AKYLR,dsl,no,yes,yes,no,no,no
0221-WMXNQ,fiber optic,yes,no,no,no,no,no
0303-UNCIP,dsl,no,no,yes,no,no,yes
9947-OTFQU,fiber optic,no,yes,no,no,no,no
0322-YINQP,dsl,yes,no,no,no,no,no
0959-WHOKV,fiber optic,yes,yes,yes,no,no,yes
4075-JFPGR,fiber optic,yes,yes,yes,no,yes,no
4629-NRXKX,fiber optic,no,no,no,no,no,no
9514-JDSKI,dsl,no,yes,no,no,yes,no
3282-ZISZV,dsl,no,yes,yes,yes,yes,yes
4111-BNXIF,dsl,no,yes,yes,yes,yes,yes
7017-VFHAY,fiber optic,yes,yes,yes,yes,yes,yes
6655-LHBYW,fiber optic,yes,yes,yes,yes,yes,yes
4959-JOSRX,dsl,no,no,no,no,no,no
5046-NUHWD,dsl,yes,no,yes,no,no,yes
7273-TEFQD,dsl,no,no,yes,no,no,yes
3606-TWKGI,fiber optic,no,yes,yes,no,yes,yes
7529-ZDFXI,fiber optic,no,yes,no,no,no,yes
7605-BDWDC,dsl,yes,yes,no,yes,no,yes
1950-KSVVJ,fiber optic,yes,yes,yes,yes,yes,yes
0123-CRBRT,dsl,yes,yes,yes,yes,yes,yes
3197-ARFOY,fiber optic,yes,yes,no,yes,yes,yes
4385-GZQXV,fiber optic,no,no,no,yes,yes,yes
7633-MVPUY,dsl,yes,yes,no,yes,no,no
6366-ZGQGL,dsl,no,no,no,no,no,no
4716-HHKQH,fiber optic,no,yes,no,yes,yes,yes
5940-AHUHD,fiber optic,no,no,no,no,no,no
6432-TWQLB,fiber optic,no,yes,no,yes,no,no
4484-GLZOU,fiber optic,no,yes,yes,no,yes,yes
3179-GBRWV,dsl,yes,yes,no,no,no,yes
8645-KWHJO,dsl,no,no,yes,yes,yes,yes
4130-MZLCC,dsl,no,yes,no,no,no,no
0314-TKOSI,dsl,yes,yes,no,no,no,no
8229-MYEJZ,dsl,no,yes,no,no,no,no
9577-WJVCQ,dsl,yes,no,no,no,no,no
9512-UIBFX,fiber optic,no,no,yes,no,yes,yes
6202-DYYFX,fiber optic,no,no,no,no,no,no
3808-HFKDE,dsl,no,no,no,no,no,no
5583-SXDAG,fiber optic,no,no,no,no,no,no
3488-PGMQJ,fiber optic,no,yes,no,no,no,no
3580-REOAC,dsl,no,no,no,no,no,no
7534-BFESC,fiber optic,no,no,no,no,no,no
3727-OWVYD,dsl,yes,yes,yes,no,no,no
2294-SALNE,fiber optic,no,yes,yes,yes,no,no
4847-TAJYI,fiber optic,no,no,no,no,yes,yes
6556-DBKZF,fiber optic,no,no,yes,no,no,no
6851-WEFYX,fiber optic,no,no,yes,no,yes,yes
2985-JUUBZ,dsl,no,no,yes,no,yes,yes
6390-DSAZX,fiber optic,yes,no,no,no,no,no
0895-LMRSF,dsl,no,no,no,no,yes,yes
8098-LLAZX,fiber optic,no,no,no,no,yes,yes
8266-VBFQL,fiber optic,no,no,yes,yes,no,yes
8181-YHCMF,dsl,no,yes,yes,yes,yes,yes
2240-HSJQD,fiber optic,no,yes,no,no,no,no
0265-EDXBD,fiber optic,no,no,no,no,no,no
4115-BNPJY,dsl,no,no,yes,yes,yes,yes
3167-SNQPL,fiber optic,no,yes,no,no,yes,yes
4091-TVOCN,dsl,yes,no,yes,no,yes,yes
7277-OZCGZ,fiber optic,yes,no,no,yes,no,yes
1557-EMYVT,fiber optic,yes,yes,yes,yes,yes,yes
2799-ARNLO,fiber optic,no,no,no,no,no,no
7563-BIUPC,fiber optic,no,no,no,no,yes,no
5027-YOCXN,fiber optic,yes,yes,no,yes,yes,yes
2321-OMBXY,dsl,yes,yes,no,yes,yes,yes
2840-XANRC,fiber optic,no,no,yes,no,yes,yes
6745-JEFZB,fiber optic,no,no,no,yes,yes,no
5020-ZSTTY,dsl,yes,yes,no,yes,yes,yes
9880-TDQAC,dsl,no,yes,yes,yes,yes,yes
8705-WZCYL,dsl,no,no,no,no,no,no
7102-JJVTX,dsl,yes,no,no,no,no,no
8626-PTQGE,dsl,yes,yes,no,yes,yes,yes
4983-CLMLV,fiber optic,no,yes,no,yes,yes,yes
5701-YVSVF,fiber optic,no,no,no,yes,yes,no
5804-LEPIM,fiber optic,no,no,no,no,no,no
5697-GOMBF,dsl,no,no,no,no,yes,no
2739-CACDQ,fiber optic,no,no,yes,no,no,no
2379-GYFLQ,fiber optic,no,yes,yes,no,yes,no
0122-OAHPZ,fiber optic,no,no,no,no,no,no
2868-SNELZ,fiber optic,no,no,yes,no,no,no
4322-RCYMT,dsl,no,yes,yes,yes,no,yes
6680-NENYN,fiber optic,no,yes,yes,no,yes,yes
2088-IEBAU,dsl,yes,yes,yes,yes,yes,yes
7982-VCELR,fiber optic,no,yes,no,no,yes,yes
1343-EHPYB,fiber optic,no,yes,yes,no,yes,yes
6035-BXTTY,dsl,no,yes,no,yes,no,no
6885-PKOAM,dsl,yes,yes,yes,yes,yes,yes
7520-HQWJU,dsl,yes,yes,yes,no,no,no
0021-IKXGC,fiber optic,no,no,no,no,no,no
2034-GDRCN,fiber optic,no,no,no,no,yes,yes
6243-OZGFH,dsl,no,no,no,no,yes,yes
4654-DLAMQ,fiber optic,yes,yes,yes,no,no,yes
0513-RBGPE,dsl,yes,no,yes,yes,no,no
5160-UXJED,dsl,no,no,no,no,no,no
4115-NZRKS,fiber optic,no,no,no,no,yes,yes
0219-YTZUE,fiber optic,no,yes,yes,no,no,no
0623-IIHUG,dsl,yes,no,no,no,yes,no
4572-DVCGN,fiber optic,no,no,no,no,no,yes
3351-NGXYI,dsl,yes,no,no,no,no,no
8984-EYLLL,fiber optic,no,yes,no,yes,yes,yes
9057-MSWCO,dsl,yes,no,no,no,no,no
9833-TGFHX,fiber optic,yes,no,no,no,yes,yes
5229-DTFYB,fiber optic,no,yes,no,yes,yes,yes
0104-PPXDV,dsl,no,no,yes,no,no,no
3583-KRKMD,fiber optic,no,no,no,yes,no,no
1010-DIAUQ,fiber optic,no,no,yes,no,yes,yes
9069-LGEUL,dsl,yes,no,no,no,no,yes
9571-EDEBV,fiber optic,no,no,yes,no,yes,yes
3520-FJGCV,fiber optic,yes,yes,yes,yes,yes,yes
0259-GBZSH,fiber optic,no,no,no,no,yes,no
6122-EFVKN,dsl,yes,no,no,yes,no,no
2805-EDJPQ,fiber optic,no,yes,yes,yes,no,yes
6862-CQUMB,fiber optic,no,yes,no,no,yes,yes
7156-MXBJE,dsl,no,yes,yes,yes,yes,yes
6158-HDPXZ,dsl,no,no,no,no,no,no
9601-BRXPO,fiber optic,no,no,yes,yes,yes,yes
2863-IMQDR,dsl,yes,yes,yes,yes,yes,yes
5686-CMAWK,fiber optic,no,no,yes,yes,no,no
5651-CRHKQ,fiber optic,no,yes,yes,yes,no,no
6905-NIQIN,dsl,no,yes,no,no,no,no
8204-YJCLA,dsl,yes,yes,yes,yes,yes,yes
5167-ZFFMM,fiber optic,no,yes,no,no,no,yes
6583-SZVGP,fiber optic,no,yes,yes,no,yes,yes
0533-BNWKF,fiber optic,no,yes,yes,no,no,no
1708-PBBOA,dsl,yes,yes,yes,yes,no,yes
8782-LKFPK,fiber optic,no,no,yes,no,no,yes
5522-JBWMO,dsl,no,no,no,no,no,no
3597-MVHJT,fiber optic,no,no,no,no,yes,yes
9774-NRNAU,dsl,no,yes,yes,yes,yes,yes
0224-RLWWD,dsl,no,no,no,no,no,no
3951-NJCVI,fiber optic,no,no,no,no,yes,yes
2977-CEBSX,dsl,yes,yes,yes,yes,yes,yes
0177-PXBAT,fiber optic,yes,no,yes,yes,yes,yes
6599-CEBNN,fiber optic,no,yes,no,no,no,no
2519-ERQOJ,dsl,no,no,yes,yes,yes,yes
0979-PHULV,fiber optic,no,no,yes,no,yes,yes
3067-SVMTC,dsl,yes,no,no,yes,no,no
4742-DRORA,fiber optic,yes,no,yes,no,yes,no
0111-KLBQG,fiber optic,no,yes,no,no,yes,yes
0334-GDDSO,fiber optic,no,yes,no,no,no,no
5233-AOZUF,fiber optic,no,no,no,no,no,no
5973-EJGDP,fiber optic,no,yes,yes,yes,no,no
1996-DBMUS,fiber optic,no,no,no,no,no,no
7916-VCCPB,fiber optic,no,yes,no,no,no,no
4686-GEFRM,fiber optic,no,yes,yes,yes,no,yes
0578-SKVMF,fiber optic,no,yes,no,no,no,yes
5564-NEMQO,fiber optic,no,no,yes,no,no,no
5605-IYGFG,fiber optic,no,no,no,no,no,no
7663-ZTEGJ,fiber optic,no,yes,yes,yes,no,yes
8111-BKVDS,dsl,yes,yes,yes,no,no,no
2055-SIFSS,dsl,no,no,no,no,no,no
2806-MLNTI,fiber optic,no,yes,yes,no,yes,yes
8734-DKSTZ,fiber optic,no,no,no,no,no,yes
4360-PNRQB,fiber optic,no,no,no,no,no,no
6152-ONASV,dsl,yes,no,no,yes,no,no
7781-HVGMK,dsl,yes,yes,yes,yes,yes,yes
2181-UAESM,dsl,yes,no,yes,no,no,no
2957-LOLHO,dsl,no,no,no,no,no,no
2320-SLKMB,dsl,no,no,yes,yes,yes,no
4376-KFVRS,fiber optic,yes,yes,yes,yes,yes,yes
5886-VLQVU,fiber optic,no,no,no,yes,no,yes
3577-AMVUX,dsl,no,no,yes,yes,no,no
0771-WLCLA,fiber optic,yes,no,yes,yes,yes,yes
5628-RKIFK,fiber optic,yes,no,no,no,yes,yes
0206-TBWLC,fiber optic,yes,yes,yes,yes,yes,yes
2937-FTHUR,dsl,yes,no,no,no,no,yes
1910-FMXJM,fiber optic,no,no,no,no,no,yes
7752-XUSCI,fiber optic,no,yes,yes,no,yes,yes
4110-PFEUZ,fiber optic,no,no,no,no,no,no
5168-MSWXT,fiber optic,no,no,yes,no,yes,yes
1090-ESELR,fiber optic,yes,yes,no,yes,yes,yes
5760-WRAHC,dsl,yes,no,yes,yes,no,yes
8847-GEOOQ,dsl,no,yes,yes,yes,yes,yes
0256-LTHVJ,fiber optic,no,no,no,no,no,yes
8313-NDOIA,fiber optic,no,yes,yes,no,yes,yes
5149-CUZUJ,fiber optic,no,yes,yes,yes,yes,no
0942-KOWSM,dsl,no,yes,yes,yes,yes,yes
1452-VOQCH,fiber optic,no,no,no,no,no,no
6614-VBEGU,dsl,no,yes,no,no,yes,yes
0880-TKATG,fiber optic,no,no,yes,no,yes,yes
3811-VBYBZ,fiber optic,no,yes,no,no,yes,yes
1480-BKXGA,fiber optic,yes,yes,yes,yes,yes,yes
2996-XAUVF,dsl,no,no,no,yes,no,yes
9076-AXYIK,fiber optic,no,no,yes,yes,yes,yes
5968-XQIVE,fiber optic,no,yes,no,no,yes,no
4640-UHDOS,dsl,no,no,no,no,no,yes
3583-EKAPL,dsl,no,no,no,no,no,yes
1304-BCCFO,dsl,no,no,yes,no,yes,yes
4104-PVRPS,dsl,yes,no,no,yes,no,no
9399-APLBT,fiber optic,no,yes,no,no,no,no
2359-KMGLI,fiber optic,no,yes,no,no,no,no
3780-DDGSE,dsl,no,yes,no,yes,yes,yes
4431-EDMIQ,dsl,yes,yes,yes,yes,yes,no
0306-JAELE,fiber optic,no,no,no,yes,yes,yes
6227-HWPWX,fiber optic,no,no,no,no,no,no
0447-BEMNG,dsl,yes,no,yes,no,no,yes
4612-SSVHJ,fiber optic,no,no,no,no,no,yes
5168-MQQCA,fiber optic,no,yes,yes,yes,yes,yes
5949-XIKAE,fiber optic,no,yes,no,no,yes,no
7971-HLVXI,fiber optic,no,no,no,no,no,yes
9094-AZPHK,fiber optic,no,yes,no,no,yes,yes
3649-JPUGY,dsl,no,yes,yes,yes,yes,yes
4472-LVYGI,dsl,yes,no,yes,yes,yes,no
8372-JUXUI,fiber optic,no,no,no,no,no,no
3552-CTCYF,fiber optic,no,yes,yes,no,yes,yes
6778-YSNIH,dsl,no,yes,no,no,yes,no
0388-EOPEX,fiber optic,yes,no,no,no,no,no
5756-OZRIO,dsl,no,yes,no,no,no,yes
8205-OTCHB,dsl,no,yes,yes,no,no,yes
4134-BSXLX,dsl,yes,yes,no,yes,no,no
6235-VDHOM,dsl,no,yes,no,no,no,no
7783-YKGDV,fiber optic,yes,yes,yes,no,no,yes
4374-YMUSQ,fiber optic,yes,yes,yes,yes,yes,yes
4513-CXYIX,fiber optic,yes,no,no,no,no,no
3957-HHLMR,dsl,yes,no,no,no,no,yes
7803-XOCCZ,fiber optic,yes,no,yes,yes,no,no
5736-YEJAX,dsl,yes,yes,yes,yes,yes,no
5609-CEBID,fiber optic,no,yes,yes,no,no,yes
8981-FJGLA,fiber optic,no,no,yes,no,no,no
7218-HKQFK,fiber optic,no,no,no,yes,yes,yes
4636-QRJKY,fiber optic,no,no,no,yes,no,no
4332-MUOEZ,fiber optic,yes,no,yes,yes,no,yes
8535-SFUTN,fiber optic,yes,no,yes,no,yes,yes
5956-VKDTT,fiber optic,no,no,no,no,no,no
8677-HDZEE,fiber optic,no,yes,no,yes,yes,yes
2475-MROZF,fiber optic,yes,yes,yes,yes,no,no
9412-GHEEC,fiber optic,no,no,yes,yes,yes,yes
3482-ABPKK,dsl,yes,no,no,yes,no,no
6705-LXORM,fiber optic,no,no,no,no,no,no
0257-ZESQC,fiber optic,yes,no,no,no,no,no
5174-ITUMV,fiber optic,no,yes,yes,no,yes,yes
4109-CYRBD,dsl,no,no,no,no,no,no
0913-XWSCN,fiber optic,no,no,no,no,no,yes
6825-UYPFK,fiber optic,no,no,no,no,no,no
8397-MVTAZ,fiber optic,no,no,yes,no,yes,yes
0750-EBAIU,fiber optic,yes,no,yes,no,yes,no
8606-CIQUL,fiber optic,yes,yes,yes,yes,yes,yes
3571-DPYUH,fiber optic,no,yes,no,yes,yes,no
0356-OBMAC,fiber optic,no,yes,yes,yes,yes,no
4234-XTNEA,fiber optic,no,no,no,no,yes,no
1297-VQDRP,fiber optic,no,no,yes,yes,yes,yes
9282-IZGQK,fiber optic,no,no,no,no,no,yes
5348-CAGXB,fiber optic,no,no,yes,no,yes,no
0621-HJWXJ,fiber optic,no,yes,no,no,no,no
5844-QVTAT,dsl,yes,yes,yes,no,no,no
8905-IAZPF,fiber optic,no,yes,no,no,yes,yes
5394-MEITZ,dsl,no,yes,yes,yes,yes,yes
6859-QNXIQ,fiber optic,yes,yes,yes,yes,yes,yes
2782-LFZVW,dsl,no,no,no,no,no,yes
1342-JPNKI,fiber optic,no,no,no,no,yes,no
2817-NTQDO,dsl,yes,no,no,yes,yes,no
7129-AZJDE,fiber optic,no,no,no,no,no,yes
6986-IJDHX,fiber optic,no,yes,no,no,yes,no
2560-PPCHE,fiber optic,no,yes,no,yes,yes,yes
4676-MQUEA,fiber optic,yes,yes,yes,no,yes,no
3580-HYCSP,fiber optic,yes,yes,yes,no,yes,yes
1352-HNSAW,fiber optic,yes,yes,yes,yes,yes,yes
5301-GAUUY,fiber optic,no,yes,no,no,no,no
5791-KAJFD,dsl,yes,no,yes,no,no,yes
1154-HYWWO,dsl,yes,yes,no,yes,yes,no
2501-XWWTZ,fiber optic,no,no,no,no,no,no
3716-UVSPD,dsl,no,no,no,yes,no,no
6815-ABQFQ,fiber optic,no,yes,no,yes,yes,yes
3701-SFMUH,dsl,yes,no,no,no,yes,yes
6103-LIANB,fiber optic,no,no,yes,no,yes,yes
7319-VENRZ,dsl,no,no,yes,yes,yes,no
5846-NEQVZ,dsl,yes,no,yes,yes,no,yes
6967-QIQRV,fiber optic,yes,no,no,yes,yes,yes
5781-RFZRP,dsl,yes,yes,no,yes,yes,no
0939-YAPAF,fiber optic,no,no,yes,no,yes,yes
0308-IVGOK,dsl,no,yes,yes,yes,no,no
7025-WCBNE,dsl,no,yes,no,yes,no,no
5756-JYOJT,dsl,no,no,yes,yes,no,yes
4710-FDUIZ,fiber optic,no,yes,no,no,yes,yes
6030-REHUX,fiber optic,no,yes,yes,yes,yes,yes
9548-LIGTA,dsl,yes,yes,no,yes,yes,yes
5150-LJNSR,fiber optic,yes,no,yes,no,yes,no
8270-RKSAP,fiber optic,no,no,no,no,no,no
6522-YRBXD,fiber optic,yes,yes,no,no,no,yes
3627-FHKBK,fiber optic,yes,no,no,no,no,no
2865-TCHJW,fiber optic,no,no,yes,no,yes,no
5192-EBGOV,fiber optic,no,no,no,no,yes,no
4568-KNYWR,dsl,yes,yes,no,no,yes,no
0742-LAFQK,fiber optic,yes,yes,yes,no,no,yes
0795-LAFGP,dsl,yes,yes,yes,yes,yes,yes
0619-OLYUR,fiber optic,yes,no,yes,yes,yes,yes
0459-SPZHJ,dsl,yes,yes,yes,no,yes,yes
0215-BQKGS,fiber optic,yes,yes,yes,no,no,no
