Customer_ID,Gender,Senior_Citizen,Partner,Dependents
2673-CXQEU,female,1,no,no
6416-JNVRK,female,0,no,no
5590-ZSKRV,female,0,yes,yes
0191-ZHSKZ,male,1,no,no
3887-PBQAO,female,0,yes,yes
5919-TMRGD,female,0,no,yes
8108-UXRQN,female,0,yes,yes
9191-MYQKX,female,0,yes,no
9919-YLNNG,female,0,no,no
0318-ZOPWS,female,0,yes,no
4445-ZJNMU,male,0,no,no
4808-YNLEU,female,0,yes,no
1862-QRWPE,female,0,yes,yes
2796-NNUFI,female,0,yes,yes
3016-KSVCP,male,0,yes,no
4767-HZZHQ,male,0,yes,yes
2424-WVHPL,male,1,no,no
7233-PAHHL,male,0,yes,yes
6067-NGCEU,female,0,no,no
9848-JQJTX,male,0,no,no
8637-XJIVR,female,0,no,no
9803-FTJCG,male,0,yes,yes
0278-YXOOG,male,0,no,no
3212-KXOCR,male,0,no,no
4598-XLKNJ,female,1,yes,no
6380-ARCEH,male,0,no,no
3679-XASPY,female,0,yes,yes
7123-WQUHX,male,0,no,no
5386-THSLQ,female,1,yes,no
3192-NQECA,male,0,yes,no
6180-YBIQI,male,0,no,no
6728-DKUCO,female,0,yes,yes
9750-BOOHV,female,0,no,no
8597-CWYHH,male,0,no,no
2848-YXSMW,male,0,yes,yes
0486-HECZI,male,0,yes,no
4549-ZDQYY,female,0,no,no
5712-AHQNN,female,0,no,no
4846-WHAFZ,female,1,yes,no
5256-SKJGO,female,0,yes,yes
3071-VBYPO,male,0,yes,yes
9560-BBZXK,female,0,no,no
5299-RULOA,female,0,yes,yes
8402-OOOHJ,female,0,no,no
9445-ZUEQE,male,0,yes,yes
1091-SOZGA,female,0,yes,yes
2928-HLDBA,female,0,no,no
0404-SWRVG,male,0,no,no
6497-TILVL,female,0,yes,yes
7219-TLZHO,female,0,yes,yes
4622-YNKIJ,male,0,no,no
4412-YLTKF,female,1,no,no
6734-PSBAW,male,0,yes,no
3930-ZGWVE,male,0,no,no
2639-UGMAZ,male,1,no,no
2876-GZYZC,female,0,no,no
6207-WIOLX,female,0,yes,yes
8587-XYZSF,male,0,no,no
3091-FYHKI,male,0,no,no
2372-HWUHI,male,0,no,no
7799-LGRDP,female,0,no,no
7850-VWJUU,female,0,no,no
3774-VBNXY,female,0,yes,yes
6217-KDYWC,male,0,no,yes
0390-DCFDQ,female,1,yes,no
3146-MSEGF,female,1,yes,yes
4080-OGPJL,female,0,no,no
1095-WGNGG,female,0,yes,no
2636-SJDOU,male,0,no,no
1131-QQZEB,male,1,yes,no
5716-EZXZN,female,0,yes,yes
6837-BJYDQ,male,0,no,no
2135-RXIHG,male,0,no,no
6440-DKQGE,male,0,no,yes
3466-BYAVD,male,0,yes,yes
3780-YVMFA,female,0,yes,yes
3874-EQOEP,male,0,no,no
1679-JRFBR,female,0,yes,yes
9073-ZZIAY,male,0,yes,yes
3077-RSNTJ,female,0,yes,yes
6551-GNYDG,female,0,yes,yes
9167-APMXZ,female,0,no,no
2749-CTKAJ,male,0,yes,yes
6371-NZYEG,male,0,yes,yes
7554-NEWDD,male,0,no,no
8992-VONJD,female,0,no,yes
0867-MKZVY,female,0,yes,no
4482-EWFMI,female,0,no,no
4648-YPBTM,male,0,no,no
2907-ILJBN,female,0,yes,yes
6345-FZOQH,male,0,yes,no
3376-BMGFE,female,0,no,no
5997-OPVFA,male,0,yes,no
3445-HXXGF,male,1,yes,no
1159-WFSGR,female,0,yes,yes
7654-YWJUF,male,0,yes,no
1875-QIVME,female,0,yes,no
6727-IOTLZ,male,0,yes,no
0691-JVSYA,female,0,yes,no
5918-VUKWP,female,0,no,no
1744-JHKYS,female,0,yes,no
2656-FMOKZ,female,1,no,no
2070-FNEXE,female,1,no,no
5947-SGKCL,female,0,yes,yes
3712-PKXZA,male,0,yes,no
6317-YPKDH,female,0,no,no
6582-OIVSP,female,0,no,no
9367-WXLCH,male,0,no,no
5524-KHNJP,male,0,yes,yes
1918-ZBFQJ,female,0,no,no
1024-GUALD,female,0,yes,no
4827-USJHP,male,0,no,no
8167-GJLRN,male,0,no,no
0956-SYCWG,female,0,no,no
8017-UVSZU,female,0,yes,no
7100-FQPRV,male,0,yes,yes
2472-OVKUP,male,0,yes,no
2984-RGEYA,female,0,yes,yes
9680-NIAUV,female,0,yes,yes
2146-EGVDT,male,0,yes,yes
2604-IJPDU,female,0,yes,no
9178-JHUVJ,male,0,yes,yes
6168-YBYNP,male,0,no,no
7255-SSFBC,male,0,yes,yes
3645-DEYGF,male,0,no,yes
9323-HGFWY,female,0,yes,no
8544-GOQSH,female,0,no,no
3363-DTIVD,male,0,yes,yes
7018-WBJNK,male,0,no,yes
9142-KZXOP,male,0,no,no
7674-YTAFD,female,0,no,no
6348-SNFUS,male,0,yes,yes
1285-OKIPP,male,0,no,no
7825-ECJRF,female,0,no,no
1347-KTTTA,male,0,yes,no
7841-TZDMQ,male,0,no,no
4195-NZGTA,female,0,no,no
7157-SMCFK,male,0,no,yes
4709-LKHYG,female,0,yes,yes
2504-DSHIH,male,1,yes,no
0699-NDKJM,female,0,yes,no
9286-BHDQG,male,0,yes,yes
0230-WEQUW,male,0,yes,no
2040-LDIWQ,male,0,yes,yes
6496-JDSSB,female,0,no,no
9408-SSNVZ,female,0,no,no
4443-EMBNA,female,0,yes,no
6469-MRVET,male,0,yes,yes
0742-MOABM,male,0,yes,no
5961-VUSRV,female,0,no,no
6778-JFCMK,male,0,no,no
6341-JVQGF,female,0,yes,yes
2232-DMLXU,female,0,yes,no
4811-JBUVU,male,0,no,no
0945-TSONX,female,0,yes,yes
2651-ZCBXV,male,0,no,no
3316-UWXUY,male,0,no,no
8937-RDTHP,male,0,no,no
7083-MIOPC,female,0,no,no
1984-GPTEH,female,0,no,no
1251-KRREG,male,0,no,no
0621-JFHOL,female,0,no,no
9903-LYSAB,male,0,yes,no
0094-OIFMO,female,1,no,no
9227-UAQFT,male,0,no,no
7301-ABVAD,female,0,no,no
6614-FHDBO,male,0,no,no
7576-ASEJU,female,0,yes,yes
9058-HRZSV,female,1,yes,no
4522-AKYLR,female,1,no,no
0221-WMXNQ,male,1,no,no
0303-UNCIP,male,0,no,no
9947-OTFQU,male,1,no,no
0322-YINQP,male,0,no,no
0959-WHOKV,male,0,no,no
4075-JFPGR,female,0,yes,no
4629-NRXKX,female,0,yes,yes
9514-JDSKI,male,1,yes,no
3282-ZISZV,male,0,no,yes
3675-YDUPJ,male,0,no,no
4111-BNXIF,female,0,yes,yes
7017-VFHAY,female,0,yes,yes
6655-LHBYW,male,0,no,no
4959-JOSRX,female,0,yes,no
5046-NUHWD,female,1,yes,no
7273-TEFQD,male,1,no,no
3606-TWKGI,male,1,no,no
7529-ZDFXI,male,1,yes,no
7605-BDWDC,female,0,no,no
1950-KSVVJ,female,0,yes,no
0123-CRBRT,female,0,yes,yes
6292-TOSSS,male,0,no,no
3197-ARFOY,female,1,no,no
6323-AYBRX,male,0,no,no
7014-ZZXAW,female,0,yes,no
4385-GZQXV,female,1,no,no
7633-MVPUY,male,0,yes,no
6366-ZGQGL,male,0,no,no
4716-HHKQH,male,1,yes,no
5940-AHUHD,male,0,no,no
6432-TWQLB,male,0,yes,no
4484-GLZOU,female,0,yes,no
3179-GBRWV,male,1,yes,no
8645-KWHJO,male,0,no,no
4130-MZLCC,female,0,no,no
0314-TKOSI,female,0,no,no
8229-MYEJZ,female,0,no,no
2080-SRCDE,female,0,no,yes
9577-WJVCQ,female,0,no,no
9512-UIBFX,male,0,yes,yes
6202-DYYFX,female,0,no,no
3808-HFKDE,female,0,no,no
5583-SXDAG,male,0,yes,no
3488-PGMQJ,male,1,no,no
3580-REOAC,male,0,no,no
7534-BFESC,male,1,no,no
3727-OWVYD,male,0,no,no
2294-SALNE,male,0,yes,yes
4847-TAJYI,female,1,no,no
1563-IWQEX,female,0,no,no
8203-XJZRC,male,0,no,no
6556-DBKZF,female,0,yes,yes
6851-WEFYX,male,1,yes,no
2985-JUUBZ,male,0,yes,yes
6390-DSAZX,female,0,no,yes
0895-LMRSF,male,0,no,no
8098-LLAZX,female,1,no,no
8266-VBFQL,male,0,no,no
8181-YHCMF,female,0,yes,yes
2240-HSJQD,male,0,no,yes
1248-DYXUB,male,0,yes,yes
0265-EDXBD,male,1,yes,no
4115-BNPJY,male,0,yes,yes
3167-SNQPL,male,1,yes,yes
4091-TVOCN,male,0,no,yes
1098-TDVUQ,female,0,no,no
7277-OZCGZ,female,0,no,no
1557-EMYVT,female,0,no,no
2799-ARNLO,female,1,yes,no
7563-BIUPC,male,0,no,no
5027-YOCXN,male,0,yes,yes
3973-SKMLN,male,0,no,no
2321-OMBXY,female,0,yes,yes
2840-XANRC,male,1,yes,no
6745-JEFZB,male,0,yes,no
5020-ZSTTY,female,1,no,no
9880-TDQAC,female,0,yes,yes
8705-WZCYL,male,0,no,no
7102-JJVTX,female,0,yes,yes
8626-PTQGE,male,0,no,no
4983-CLMLV,female,0,yes,no
5701-YVSVF,female,1,yes,no
5804-LEPIM,female,1,no,no
5697-GOMBF,female,1,yes,yes
2739-CACDQ,female,1,no,no
9385-EHGDO,female,0,yes,yes
9498-FIMXL,female,0,no,no
2379-GYFLQ,male,0,no,no
0122-OAHPZ,female,0,no,no
2868-SNELZ,female,0,no,no
4322-RCYMT,male,0,yes,yes
6680-NENYN,female,0,no,no
2088-IEBAU,female,0,no,no
7982-VCELR,female,0,no,no
1343-EHPYB,male,0,yes,no
6035-BXTTY,female,1,no,no
6885-PKOAM,female,0,yes,no
7520-HQWJU,female,0,yes,yes
9639-BUJXT,male,0,no,no
5924-SNGKP,female,0,no,yes
0021-IKXGC,female,1,no,no
2034-GDRCN,female,0,no,no
8966-SNIZF,female,0,yes,no
6243-OZGFH,female,0,no,no
4654-DLAMQ,female,1,yes,no
0513-RBGPE,male,0,yes,yes
5160-UXJED,male,0,no,yes
4115-NZRKS,female,1,no,no
0219-YTZUE,male,0,yes,yes
0623-IIHUG,female,1,no,no
4572-DVCGN,female,0,no,no
3351-NGXYI,female,1,no,no
8984-EYLLL,male,0,yes,no
9057-MSWCO,male,1,yes,no
9833-TGFHX,male,0,yes,yes
9294-TDIPC,male,0,no,yes
5229-DTFYB,female,0,no,no
0104-PPXDV,male,0,yes,no
5176-LMJXE,female,0,no,no
3583-KRKMD,male,0,no,no
1010-DIAUQ,male,0,no,no
9069-LGEUL,male,0,yes,no
7302-ZHMHP,female,0,no,no
9571-EDEBV,male,0,yes,no
3520-FJGCV,male,0,yes,yes
6563-VRERX,male,0,yes,yes
0259-GBZSH,male,0,no,no
6122-EFVKN,male,0,no,yes
2805-EDJPQ,female,0,yes,yes
6862-CQUMB,male,0,no,no
7156-MXBJE,female,0,no,no
6158-HDPXZ,male,0,no,no
9601-BRXPO,female,0,yes,no
2863-IMQDR,female,0,no,no
5686-CMAWK,male,0,no,no
5651-CRHKQ,female,0,yes,no
6905-NIQIN,male,0,no,no
8204-YJCLA,male,1,yes,yes
5167-ZFFMM,male,0,no,no
6583-SZVGP,male,0,no,no
4895-TMWIR,male,1,yes,no
0533-BNWKF,female,1,yes,no
1708-PBBOA,female,0,no,no
8782-LKFPK,male,0,no,no
5522-JBWMO,male,0,no,yes
3597-MVHJT,female,0,no,no
9774-NRNAU,male,1,yes,no
0224-RLWWD,female,1,no,no
9967-ATRFS,female,0,no,no
3951-NJCVI,female,1,yes,no
2977-CEBSX,female,0,no,no
0177-PXBAT,male,1,yes,no
6599-CEBNN,female,0,no,no
2519-ERQOJ,male,1,no,no
5876-QMYLD,female,0,yes,yes
2277-AXSDC,female,0,no,no
9442-JTWDL,female,0,no,no
0979-PHULV,male,0,yes,yes
3067-SVMTC,female,0,yes,no
5495-GPSRW,male,0,no,no
7606-BPHHN,male,0,no,no
4742-DRORA,male,0,yes,yes
0111-KLBQG,male,1,yes,yes
4800-VHZKI,female,0,no,no
7989-CHGTL,male,0,no,no
0334-GDDSO,male,1,no,no
4163-NCJAK,female,0,yes,no
5233-AOZUF,female,0,yes,no
5973-EJGDP,male,0,no,no
1996-DBMUS,female,1,yes,no
7916-VCCPB,female,0,yes,yes
4686-GEFRM,male,0,yes,no
5249-QYHEX,female,0,yes,yes
0578-SKVMF,female,0,yes,yes
5564-NEMQO,female,1,no,no
2233-FAGXV,female,0,yes,yes
5605-IYGFG,female,0,no,no
7663-ZTEGJ,male,0,no,yes
3935-TBRZZ,male,0,yes,yes
8111-BKVDS,female,0,no,no
2055-SIFSS,female,1,yes,no
2806-MLNTI,male,1,yes,no
8734-DKSTZ,female,0,yes,yes
4360-PNRQB,male,0,no,no
6152-ONASV,female,0,yes,no
9063-ZGTUY,female,0,yes,yes
7781-HVGMK,female,0,yes,yes
2181-UAESM,male,0,no,no
2957-LOLHO,male,0,no,no
6048-NJXHX,male,0,yes,no
2320-SLKMB,female,0,no,no
4980-URKXC,male,0,yes,no
4376-KFVRS,male,0,yes,yes
5886-VLQVU,male,0,yes,no
3577-AMVUX,male,0,no,no
0771-WLCLA,female,0,yes,yes
5628-RKIFK,female,1,no,no
0206-TBWLC,female,0,yes,no
2937-FTHUR,female,0,no,yes
1910-FMXJM,female,0,yes,no
7752-XUSCI,female,0,no,no
4110-PFEUZ,female,0,no,no
0732-OCQOC,female,0,yes,yes
5168-MSWXT,male,0,yes,yes
1090-ESELR,male,0,yes,yes
8592-PLTMQ,female,0,no,no
5760-WRAHC,female,1,no,no
8847-GEOOQ,male,0,yes,no
0256-LTHVJ,female,0,yes,yes
4785-FCIFB,female,0,yes,no
8313-NDOIA,female,0,no,no
5149-CUZUJ,male,0,yes,yes
0942-KOWSM,female,0,yes,yes
4237-CLSMM,male,0,yes,no
1452-VOQCH,male,0,no,no
4719-UMSIY,male,0,no,yes
6614-VBEGU,female,0,yes,no
0880-TKATG,male,0,yes,yes
3811-VBYBZ,male,0,no,no
1480-BKXGA,male,1,yes,no
2996-XAUVF,male,0,no,no
9076-AXYIK,male,1,yes,no
5968-XQIVE,male,0,yes,yes
8896-RAZCR,female,0,no,yes
4640-UHDOS,female,0,yes,yes
4933-IKULF,female,1,no,no
3583-EKAPL,male,0,no,no
1304-BCCFO,male,0,yes,no
4104-PVRPS,male,0,yes,no
9399-APLBT,female,0,yes,yes
2359-KMGLI,male,0,no,no
3780-DDGSE,male,1,yes,yes
4431-EDMIQ,female,0,yes,yes
0306-JAELE,male,0,no,no
6227-HWPWX,female,0,no,yes
0486-LGCCH,male,0,yes,yes
0447-BEMNG,female,0,yes,no
4612-SSVHJ,female,1,no,no
5168-MQQCA,female,0,yes,no
5949-XIKAE,female,0,yes,yes
7971-HLVXI,male,0,yes,yes
9094-AZPHK,female,0,no,no
3649-JPUGY,male,0,no,no
4472-LVYGI,female,0,yes,yes
8372-JUXUI,male,0,no,yes
3552-CTCYF,male,0,yes,yes
6778-YSNIH,female,0,no,no
0388-EOPEX,female,0,yes,no
5756-OZRIO,male,1,yes,no
6579-JPICP,male,0,no,no
8205-OTCHB,male,0,no,no
4134-BSXLX,male,0,yes,no
0505-SPOOW,female,0,yes,no
6235-VDHOM,female,1,no,no
7783-YKGDV,female,0,no,no
4374-YMUSQ,male,0,no,no
4513-CXYIX,female,1,yes,no
3957-HHLMR,female,0,yes,yes
7803-XOCCZ,female,0,yes,yes
5736-YEJAX,male,0,no,yes
5609-CEBID,female,1,no,no
8981-FJGLA,male,0,no,yes
7218-HKQFK,male,0,yes,no
4636-QRJKY,female,0,yes,yes
1135-LMECX,female,0,no,no
4332-MUOEZ,male,1,yes,yes
8535-SFUTN,male,0,no,no
5956-VKDTT,female,1,yes,no
8677-HDZEE,female,0,no,no
2475-MROZF,male,0,no,no
9412-GHEEC,male,0,no,no
3482-ABPKK,female,0,no,no
6705-LXORM,female,1,yes,no
0257-ZESQC,female,1,yes,no
7531-GQHME,male,0,no,no
5174-ITUMV,male,0,yes,yes
4109-CYRBD,male,1,yes,no
0913-XWSCN,male,0,yes,yes
6825-UYPFK,female,0,no,no
8397-MVTAZ,male,0,yes,no
0750-EBAIU,male,0,no,no
8606-CIQUL,male,1,yes,yes
3571-DPYUH,male,0,yes,yes
7601-GNDYK,male,0,yes,yes
0356-OBMAC,female,1,no,no
8067-NIOYM,female,0,yes,yes
1403-GYAFU,male,0,yes,yes
4234-XTNEA,male,0,no,no
1297-VQDRP,male,1,yes,yes
9282-IZGQK,female,0,no,no
5348-CAGXB,male,0,no,no
0621-HJWXJ,female,0,yes,no
5844-QVTAT,female,0,yes,yes
8905-IAZPF,female,0,yes,no
5394-MEITZ,female,0,yes,yes
6859-QNXIQ,female,0,yes,yes
2782-LFZVW,female,0,no,no
2866-IKBTM,female,0,no,no
1342-JPNKI,male,0,no,no
2817-NTQDO,male,0,no,no
7129-AZJDE,male,0,yes,yes
6986-IJDHX,male,0,yes,yes
2560-PPCHE,female,0,no,no
4676-MQUEA,male,1,yes,no
8138-EALND,male,0,no,no
3580-HYCSP,male,0,yes,yes
1352-HNSAW,female,0,yes,yes
2075-PUEPR,male,0,yes,yes
1982-FEBTD,female,0,yes,yes
5301-GAUUY,male,0,no,no
5791-KAJFD,female,0,yes,yes
2654-VBVPB,female,0,no,no
1154-HYWWO,male,0,no,no
2501-XWWTZ,male,0,no,no
3716-UVSPD,male,0,no,no
6815-ABQFQ,male,0,yes,no
7343-EOBEU,male,0,yes,no
3701-SFMUH,male,0,yes,yes
6103-LIANB,male,0,yes,yes
7319-VENRZ,male,0,no,no
5846-NEQVZ,male,0,yes,yes
6967-QIQRV,male,0,yes,yes
5781-RFZRP,male,0,yes,no
0939-YAPAF,female,0,no,no
0308-IVGOK,female,0,no,no
7293-LSCDV,female,0,yes,yes
7025-WCBNE,male,1,no,no
5756-JYOJT,female,0,no,no
4710-FDUIZ,male,0,yes,no
6030-REHUX,female,1,yes,no
9548-LIGTA,male,0,yes,no
5150-LJNSR,male,0,yes,yes
8270-RKSAP,male,0,no,no
6522-YRBXD,male,1,yes,no
2640-LYMOV,male,0,no,no
1218-VKFPE,female,0,yes,yes
3627-FHKBK,female,0,no,no
2865-TCHJW,female,1,no,no
1423-BMPBQ,female,0,yes,yes
2393-DIVAI,female,0,no,no
5192-EBGOV,female,1,no,no
4568-KNYWR,male,0,no,no
8752-IMQOS,male,0,yes,yes
0742-LAFQK,male,0,yes,no
0795-LAFGP,male,0,yes,yes
0619-OLYUR,male,0,yes,no
5512-IDZEI,male,0,yes,yes
0459-SPZHJ,male,0,yes,yes
0215-BQKGS,male,0,no,no
9244-ZVAPM,male,0,no,no
0719-SYFRB,female,0,no,no
8208-EUMTE,male,0,no,no
5172-MIGPM,male,0,no,no
1710-RCXUS,male,0,yes,no
0374-FIUCA,male,0,yes,no
5839-SUYVZ,male,0,no,no
5173-ZXXXL,male,0,no,no
1096-ADRUX,female,0,yes,yes
2001-MCUUW,male,0,no,no
2731-GJRDG,female,0,no,no
4723-BEGSG,male,0,yes,no
6516-NKQBO,male,0,yes,yes
8672-OAUPW,male,0,no,yes
8207-DMRVL,male,0,yes,yes
3419-SNJJD,female,1,yes,no
6543-CPZMK,male,0,yes,yes
4765-OXPPD,female,0,yes,yes
2804-ETQDK,male,0,no,yes
6689-VRRTK,female,1,no,no
7138-GIRSH,male,0,no,no
9396-ZSFLL,female,0,no,no
6464-KEXXH,male,0,no,no
7134-MJPDY,female,1,no,no
5240-CAOYT,female,0,no,no
4059-IIEBK,female,0,no,no
4881-JVQOD,male,1,yes,yes
0516-UXRMT,female,0,no,no
4851-BQDNX,male,0,yes,yes
5148-HKFIR,female,0,no,no
1009-IRMNA,female,0,no,no
3003-CMDUU,female,0,yes,no
5016-IBERQ,male,0,yes,no
6797-UCJHZ,female,1,yes,no
2469-DTSGX,female,1,no,no
4554-YGZIH,male,1,yes,no
5099-BAILX,male,1,yes,yes
9931-KGHOA,female,0,yes,no
1775-KWJKQ,male,0,yes,yes
7665-VIGUD,male,0,no,no
9411-TPQQV,female,0,no,no
7207-RMRDB,female,0,yes,yes
7954-MLBUN,male,0,no,no
2077-DDHJK,female,0,yes,no
4913-EHYUI,male,1,yes,yes
0195-IESCP,male,0,yes,no
9574-BOSMD,male,0,yes,yes
4580-TMHJU,female,0,yes,yes
0970-ETWGE,male,0,no,no
4908-XAXAY,female,1,no,no
8404-VLQFB,female,0,yes,yes
1626-ERCMM,male,1,yes,no
0887-HJGAR,male,0,no,no
2391-IPLOP,male,0,yes,yes
5644-PDMZC,female,1,no,no
3509-GWQGF,male,1,no,no
9576-ANLXO,female,0,no,no
2024-BASKD,female,0,no,no
5845-BZZIB,male,0,yes,yes
1140-UKVZG,female,0,no,no
4160-AMJTL,female,1,no,no
5183-SNMJQ,male,0,no,no
8100-PNJMH,male,0,yes,yes
7838-LAZFO,male,0,yes,no
4464-JCOLN,male,0,yes,yes
2085-JVGAD,male,0,yes,no
5650-VDUDS,female,0,no,no
8095-WANWK,female,0,no,no
3030-ZKIWL,male,0,no,no
9565-FLVCG,male,0,yes,yes
8755-OGKNA,female,0,yes,yes
2800-VEQXM,female,0,no,no
7538-GWHML,female,0,no,no
5533-RJFTJ,male,0,no,no
3859-CVCET,female,0,no,no
0214-JHPFW,female,0,yes,no
5642-MHDQT,female,0,yes,yes
3088-FVYWK,male,0,yes,yes
3276-HDUEG,female,0,no,no
9092-GDZKO,male,0,no,no
0823-HSCDJ,male,1,no,no
3729-OWRVL,male,1,no,no
2324-AALNO,female,0,no,no
0822-GAVAP,female,0,no,no
5760-IFJOZ,male,0,no,no
2826-UWHIS,male,0,yes,no
1448-PWKYE,male,0,yes,yes
7501-IWUNG,female,0,yes,yes
4957-TREIR,male,0,no,no
7251-LJBQN,female,1,no,no
8040-MNRTF,female,0,no,no
1536-HBSWP,female,0,no,no
5313-FPXWG,male,0,no,no
0067-DKWBL,male,1,no,no
0946-FKYTX,male,0,no,no
5076-YVXCM,male,0,no,no
8262-COGGB,male,0,no,no
6663-JOCQO,male,0,yes,yes
9620-QJREV,male,0,no,yes
2276-YDAVZ,female,0,no,no
2682-KEVRP,female,1,no,no
2480-JZOSN,female,0,yes,no
0078-XZMHT,male,0,yes,no
5896-NPFWW,male,0,yes,yes
9978-HYCIN,male,1,yes,yes
8338-QIUNR,male,0,yes,yes
1525-LNLOJ,male,0,yes,yes
9450-TRJUU,male,0,no,no
1766-GKNMI,male,0,no,no
6942-LBFDP,female,0,no,no
1456-TWCGB,male,0,no,no
7133-VBDCG,female,0,no,no
7596-ZYWBB,female,0,no,no
8329-UTMVM,male,1,no,no
3014-WJKSM,male,0,yes,no
3347-YJZZE,male,0,yes,yes
1029-QFBEN,male,0,no,no
7929-DMBCV,female,0,yes,no
9661-JALZV,female,0,no,no
5433-KYGHE,female,0,no,yes
4312-KFRXN,male,0,yes,no
5575-TPIZQ,male,0,no,no
0114-IGABW,female,0,yes,no
9944-AEXBM,male,0,no,no
1853-ARAAQ,female,0,no,no
6952-OMNWB,male,1,yes,no
4697-LUPSU,male,0,yes,yes
8434-VGEQQ,male,0,yes,yes
4952-YSOGZ,female,0,yes,yes
1589-AGTLK,male,0,no,no
5244-IRFIH,male,1,yes,no
6549-YMFAW,male,1,yes,no
4950-HKQTE,female,0,no,no
6786-OBWQR,female,0,yes,yes
2684-EIWEO,female,1,no,no
2753-JMMCV,male,0,no,no
6439-GTPCA,female,0,no,no
6621-YOBKI,male,0,no,no
1216-JWVUX,male,0,yes,yes
7564-GHCVB,female,0,yes,yes
1173-NOEYG,female,0,yes,no
7595-EHCDL,male,0,yes,yes
6647-ZEDXT,female,0,no,no
2521-NPUZR,male,0,yes,no
1307-TVUFB,male,1,no,no
7503-MIOGA,female,1,yes,no
4381-MHQDC,female,0,no,no
6923-JHPMP,female,0,no,no
5138-WVKYJ,male,0,no,no
4018-PPNDW,female,0,yes,yes
1635-FJFCC,female,0,no,no
2499-AJYUA,female,1,yes,no
6919-ELBGL,male,1,yes,yes
3966-HRMZA,female,1,no,no
6425-JWTDV,male,0,yes,no
8405-IGQFX,female,0,no,no
8224-IVVPA,female,0,no,no
9477-LGWQI,male,0,yes,yes
1410-RSCMR,male,0,yes,yes
3115-CZMZD,male,0,no,yes
0139-IVFJG,female,0,yes,no
6683-VLCTZ,male,1,no,no
5730-DBDSI,male,0,no,no
0030-FNXPP,female,0,no,no
2189-WWOEW,female,0,no,yes
5684-FJVYR,female,0,yes,yes
4013-GUXND,male,0,no,no
1894-IGFSG,female,0,no,no
7379-POKDZ,male,0,yes,no
1266-NZYUI,female,0,yes,yes
7969-FFOWG,male,0,yes,yes
4718-DHSMV,female,0,no,no
5175-WLYXL,male,0,no,no
7817-OMJNA,male,0,no,no
8728-SKJLR,male,0,no,no
3137-NYQQI,male,0,yes,no
7706-DZNKK,male,0,no,no
0236-HFWSV,male,0,no,no
3900-AQPHZ,female,0,no,no
5842-POCOP,female,0,yes,no
2037-XJFUP,male,0,yes,no
8823-RLPWL,female,0,yes,no
9505-SQFSW,female,0,yes,yes
7314-OXENN,male,0,no,no
3758-CKOQL,female,0,yes,no
0322-CHQRU,male,0,no,no
5676-CFLYY,male,0,yes,yes
